Embedding,mean,std
glove,0.8136218782517711,0.00016095692860008772
wang2vec,0.8128245955141211,0.007993956239949545
fasttext,0.809499622872786,0.004879723748564793
word2vec,0.8087852483919171,0.008309910276499554
No,0.801283097696134,0.010097651014901584
