Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
FastText,85.85%,84.79%,86.49%,0.77%
GloVe,85.74%,85.48%,86.00%,0.37%
Wang2Vec,85.70%,85.18%,86.37%,0.54%
Word2Vec,85.70%,85.58%,85.78%,0.09%
Sem Vetor,85.62%,85.00%,86.25%,0.88%
