Ajuste Fino,Representação,Vetor,Tipo de Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
datalawyer-ft,ELMo+CNN+Vetor,Wang2Vec,CBoW,87.00%,87.00%,87.00%,
datalawyer,ELMo+Vetor,FastText,CBoW,86.49%,86.49%,86.49%,
datalawyer-ft,ELMo+Vetor,Word2Vec,Skip-Gram,86.45%,86.45%,86.45%,
datalawyer,ELMo+Vetor,Wang2Vec,Skip-Gram,86.37%,86.37%,86.37%,
datalawyer,ELMo+Vetor,FastText,Skip-Gram,86.34%,86.34%,86.34%,
datalawyer-ft,ELMo,Sem Vetor,Sem Vetor,86.28%,86.28%,86.28%,
datalawyer,ELMo+CNN,Sem Vetor,Sem Vetor,86.25%,86.25%,86.25%,
datalawyer-ft,ELMo+CNN+Vetor,GloVe,Sem Vetor,86.11%,86.11%,86.11%,
datalawyer-ft,ELMo+CNN+Vetor,Word2Vec,CBoW,86.10%,86.10%,86.10%,
datalawyer,ELMo+Vetor,GloVe,Sem Vetor,86.00%,86.00%,86.00%,
datalawyer-ft,ELMo+Vetor,FastText,CBoW,85.96%,85.96%,85.96%,
datalawyer-ft,ELMo+Vetor,Wang2Vec,CBoW,85.95%,85.95%,85.95%,
datalawyer,ELMo+Vetor,Wang2Vec,CBoW,85.87%,85.87%,85.87%,
datalawyer,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,85.78%,85.78%,85.78%,
datalawyer-ft,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,85.77%,85.77%,85.77%,
datalawyer,ELMo+CNN+Vetor,FastText,CBoW,85.77%,85.77%,85.77%,
datalawyer,ELMo+Vetor,Word2Vec,Skip-Gram,85.74%,85.74%,85.74%,
datalawyer-ft,ELMo+Vetor,Word2Vec,CBoW,85.73%,85.73%,85.73%,
datalawyer-ft,ELMo+CNN+Vetor,FastText,CBoW,85.70%,85.70%,85.70%,
datalawyer-ft,ELMo+CNN+Vetor,FastText,Skip-Gram,85.69%,85.69%,85.69%,
datalawyer,ELMo+CNN+Vetor,Word2Vec,CBoW,85.68%,85.68%,85.68%,
datalawyer,ELMo+Vetor,Word2Vec,CBoW,85.58%,85.58%,85.58%,
datalawyer-ft,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,85.56%,85.56%,85.56%,
datalawyer,ELMo+CNN+Vetor,GloVe,Sem Vetor,85.48%,85.48%,85.48%,
datalawyer,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,85.37%,85.37%,85.37%,
datalawyer,ELMo+CNN+Vetor,Wang2Vec,CBoW,85.18%,85.18%,85.18%,
datalawyer-ft,ELMo+Vetor,FastText,Skip-Gram,85.14%,85.14%,85.14%,
datalawyer-ft,ELMo+Vetor,GloVe,Sem Vetor,85.07%,85.07%,85.07%,
datalawyer-ft,ELMo+CNN,Sem Vetor,Sem Vetor,85.02%,85.02%,85.02%,
datalawyer,ELMo,Sem Vetor,Sem Vetor,85.00%,85.00%,85.00%,
datalawyer-ft,ELMo+Vetor,Wang2Vec,Skip-Gram,84.87%,84.87%,84.87%,
datalawyer,ELMo+CNN+Vetor,FastText,Skip-Gram,84.79%,84.79%,84.79%,
