Tipo de Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
Sem Vetor,81.36%,78.96%,82.35%,0.61%
Skip-Gram,81.30%,79.88%,82.44%,0.51%
CBoW,81.09%,79.45%,82.58%,0.58%
