Training_ID,Model,Representation,Embedding,Embedding_Type,Domain_Specific,Embedding_Domain,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer-ft_ELMo_0,datalawyer-ft,ELMo,No,No,Não,No-Não,0,4,5,00:26:12,1572.0,314.4,0.9902005450352875,0.9905974425267277,0.8972340903980212,0.8926174496644296,0.8949198160815919,39.935539054088906,0.9872702310019861,0.9876567894322923,0.8726147498710676,0.889589905362776,0.8810205675604811,46.63343424167273,0.986591509691865,0.9870992098103284,0.8677563150074294,0.9110764430577223,0.888888888888839,50.7978321381335
datalawyer-ft_ELMo_1,datalawyer-ft,ELMo,No,No,Não,No-Não,1,4,5,00:26:27,1587.0,317.4,0.990071972608483,0.9904409195723569,0.896652766820692,0.8899328859060402,0.8932801886262342,39.94445565880322,0.9873235494061663,0.9878167446448328,0.8825678496868476,0.8890641430073607,0.8858040859088029,46.59675787080009,0.9860317377663799,0.9867216892094198,0.8736789129340715,0.9027561102444098,0.8879795396418939,50.93156128109626
datalawyer-ft_ELMo_10,datalawyer-ft,ELMo,No,No,Não,No-Não,10,4,5,00:26:35,1595.0,319.0,0.9899713507092447,0.9903850185172245,0.8965478466209378,0.891834451901566,0.8941849380361749,40.799808613589555,0.9870702869863105,0.9875234934218419,0.8840731070496084,0.8901156677181914,0.8870840974586872,45.50720837431134,0.985953630055847,0.986591509691865,0.867,0.9017160686427457,0.8840173336731593,49.2790901435996
datalawyer-ft_ELMo_11,datalawyer-ft,ELMo,No,No,Não,No-Não,11,4,5,00:26:34,1594.0,318.8,0.9899713507092447,0.9903850185172245,0.8965478466209378,0.891834451901566,0.8941849380361749,40.799808613589555,0.9870702869863105,0.9875234934218419,0.8840731070496084,0.8901156677181914,0.8870840974586872,45.50720837431134,0.985953630055847,0.986591509691865,0.867,0.9017160686427457,0.8840173336731593,49.2790901435996
datalawyer-ft_ELMo_2,datalawyer-ft,ELMo,No,No,Não,No-Não,2,4,5,00:26:37,1597.0,319.4,0.9899937111312976,0.9903906086227378,0.8947427670831927,0.8890380313199105,0.8918812770015772,39.689799672267476,0.9872435717998961,0.9877367670385625,0.8745463970969414,0.8869610935856993,0.8807099973896655,45.476525252720094,0.9865654737883541,0.9871642995691058,0.8712574850299402,0.9079563182527302,0.8892284186401335,49.65423924068235
datalawyer-ft_ELMo_3,datalawyer-ft,ELMo,No,No,Não,No-Não,3,4,5,00:26:14,1574.0,314.8,0.9899657606037314,0.9903654531479281,0.8961637979525255,0.8910514541387025,0.8936003140949638,40.18467140979454,0.9871369349915357,0.987563482224977,0.8787721123829344,0.88801261829653,0.8833682008367701,46.48670874901538,0.9860057018628688,0.9865134019813323,0.8692384769539078,0.9022360894435777,0.8854299566215372,50.93897983263124
datalawyer-ft_ELMo_4,datalawyer-ft,ELMo,No,No,Não,No-Não,4,4,5,00:26:28,1588.0,317.6,0.9899573754454616,0.9903738383061981,0.8950207935259076,0.8907158836689038,0.8928631496327358,39.77594708810087,0.987550152623932,0.9879900294584183,0.8788351534061363,0.8885383806519453,0.8836601307189044,46.09669687163155,0.9864483122225549,0.9869560123410183,0.8701947079380928,0.906396255850234,0.8879266428934804,50.49143354847746
datalawyer-ft_ELMo_5,datalawyer-ft,ELMo,No,No,Não,No-Não,5,4,5,00:26:24,1584.0,316.8,0.990035636922647,0.990418559150304,0.894884766722878,0.8903803131991052,0.8926268573030058,39.98271457484511,0.9872035829967609,0.9876701190333373,0.8783783783783784,0.8885383806519453,0.8834291688446966,47.21528006499668,0.9853938581303617,0.9860577736698908,0.8642036944583126,0.9001560062402496,0.881813550687673,52.64893431033728
datalawyer-ft_ELMo_6,datalawyer-ft,ELMo,No,No,Não,No-Não,6,4,5,00:26:25,1585.0,317.0,0.9899713507092447,0.9903850185172245,0.8965478466209378,0.891834451901566,0.8941849380361749,40.799808613589555,0.9870702869863105,0.9875234934218419,0.8840731070496084,0.8901156677181914,0.8870840974586872,45.50720837431134,0.985953630055847,0.986591509691865,0.867,0.9017160686427457,0.8840173336731593,49.2790901435996
datalawyer-ft_ELMo_7,datalawyer-ft,ELMo,No,No,Não,No-Não,7,4,5,00:26:18,1578.0,315.6,0.9899713507092447,0.9903850185172245,0.8965478466209378,0.891834451901566,0.8941849380361749,40.799808613589555,0.9870702869863105,0.9875234934218419,0.8840731070496084,0.8901156677181914,0.8870840974586872,45.50720837431134,0.985953630055847,0.986591509691865,0.867,0.9017160686427457,0.8840173336731593,49.2790901435996
