Representation,mean,std
ELMo+CNN+Embeddings,0.8117684849129018,0.0038556765672221167
ELMo+Embeddings,0.8092520721640424,0.008490375121425406
ELMo,0.8084232152028262,
ELMo+CNN,0.794142980189442,
