Training_ID,Model,Embedding,Domain_Specific,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer_fasttext-lc_jur_cbow_5B-mc10_0_2,datalawyer,fasttext-lc-5B-mc10,True,cbow,0,2,14,20,01:27:30,5250.0,262.5,0.9912782209107536,0.9916701246407549,0.9071557229408875,0.9044897959183673,0.9058207979070789,12.410589853830883,0.9872195609151608,0.9876449590323118,0.8756476683937824,0.8908132530120482,0.8831653602089832,24.3922942260216,0.98561872909699,0.9861820102094702,0.8499234303215927,0.8699059561128527,0.8597986057319408,31.191842728647693
datalawyer_glove-lc_jur_5B-mc10_0_0,datalawyer,glove-lc-5B-mc10,True,No,0,0,8,20,01:22:36,4956.0,247.8,0.9956929011634161,0.9958965374152796,0.9502365801925273,0.9508571428571428,0.9505467602415039,6.893538048566487,0.98781141916511,0.9881073482900845,0.8792592592592593,0.8938253012048193,0.8864824495891958,28.959243371568878,0.9872381622953705,0.9877486358035558,0.8524464831804281,0.8738244514106583,0.8630030959751823,35.51784697894392
datalawyer_wang2vec-lc_jur_cbow_0_1,datalawyer,wang2vec-lc,True,cbow,0,1,17,20,01:23:46,5026.0,251.3,0.9962730723715555,0.9964190757219481,0.9586938775510204,0.9586938775510204,0.9586938775509705,6.068438208369861,0.9890876135165628,0.9894205337821592,0.8896396396396397,0.8923192771084337,0.8909774436089726,34.27693274103362,0.9860235873965851,0.9864988558352403,0.8446153846153847,0.8605015673981191,0.8524844720496395,47.152097307402514
datalawyer_word2vec-lc_jur_skip_0_2,datalawyer,word2vec-lc,True,skip,0,2,10,20,01:20:09,4809.0,240.45,0.9959618547036132,0.9961578065686139,0.9533898305084746,0.9551020408163265,0.95424516760455,6.7096674121586375,0.987996374868219,0.9882368172822609,0.8806734992679356,0.9058734939759037,0.893095768374115,28.905170917510986,0.9866924837176554,0.9872029572258405,0.838733986435569,0.872257053291536,0.8551671148674106,40.10309211139021
datalawyer_fasttext-lc_jur_cbow_5B-mc10_0_1,datalawyer,fasttext-lc-5B-mc10,True,cbow,0,1,15,20,01:26:14,5174.0,258.7,0.9914588040020287,0.991869918699187,0.9085986215950115,0.904,0.9062934773712571,12.348797881267828,0.9877929235947991,0.9881073482900845,0.8768436578171092,0.8953313253012049,0.8859910581221557,22.547489741752887,0.9860059848618201,0.9865164583700052,0.8504958047292144,0.8738244514106583,0.8620023192887015,32.41673265654465
datalawyer_fasttext-lc_jur_cbow_0_2,datalawyer,fasttext-lc,True,cbow,0,2,14,20,01:24:05,5045.0,252.25,0.9920043954692855,0.9923425084912475,0.9159705159705159,0.9129795918367347,0.9144726083400974,11.454841094771984,0.9879038970166645,0.9883662862744372,0.885331347728965,0.8953313253012049,0.8903032572069887,24.42573726588282,0.9859883823270551,0.9866572786481254,0.854573885848319,0.8565830721003135,0.855577299412866,33.12969181455415
datalawyer_fasttext-lc_jur_skip_0_0,datalawyer,fasttext-lc,True,skip,0,0,14,20,01:24:08,5048.0,252.4,0.9963806537876343,0.9965804478460664,0.9584492066088663,0.9565714285714285,0.9575093969602377,5.943432784230342,0.9883847818447482,0.9888101799618991,0.8764792899408284,0.8923192771084337,0.8843283582089052,30.3779399394989,0.9864988558352403,0.9871149445520155,0.8421455938697318,0.8612852664576802,0.851607903913162,42.24851751327515
datalawyer_glove-lc_jur_0_2,datalawyer,glove-lc,True,No,0,2,12,20,01:25:22,5122.0,256.1,0.9956852167765534,0.9958811686415541,0.9507445589919816,0.9485714285714286,0.9496567505720325,6.985659754185549,0.9889581445243865,0.9892170825087392,0.8846153846153846,0.9006024096385542,0.8925373134327858,29.904583626780017,0.9862172152790002,0.9866220735785953,0.8486692015209125,0.8746081504702194,0.8614434581242264,41.055469792464685
datalawyer_glove-lc_jur_5B-mc10_0_2,datalawyer,glove-lc-5B-mc10,True,No,0,2,17,20,01:25:30,5130.0,256.5,0.9956352682619454,0.9958273779335147,0.9499347684279191,0.9510204081632653,0.9504772782899068,6.974376778238594,0.9876634546026227,0.9880333660088408,0.8839820359281437,0.8893072289156626,0.8866366366365867,32.433016587947975,0.9853546910755149,0.98593557472276,0.8412213740458016,0.8636363636363636,0.8522815158545517,44.11179812201138
datalawyer_word2vec-lc_jur_cbow_5B-mc10_0_0,datalawyer,word2vec-lc-5B-mc10,True,cbow,0,0,14,20,01:25:00,5100.0,255.0,0.9935182196812516,0.9938294373491939,0.9261140235910879,0.9229387755102041,0.9245236732357011,9.280685747763988,0.9886252242587901,0.9891061090868737,0.8863976083707026,0.8930722891566265,0.8897224306076019,25.717168183162293,0.9861996127442352,0.9867804963914804,0.8571428571428571,0.8699059561128527,0.8634772462076513,35.1517473911417
datalawyer_word2vec-lc_jur_cbow_0_2,datalawyer,word2vec-lc,True,cbow,0,2,15,20,01:22:27,4947.0,247.35,0.9938717014769392,0.9941483394039989,0.9290849673202615,0.9283265306122449,0.9287055941199991,9.61729686246752,0.9886437198291009,0.9890136312353192,0.887060583395662,0.8930722891566265,0.8900562851781865,27.14306641447133,0.9870093293434254,0.9875374053863757,0.8521341463414634,0.8761755485893417,0.8639876352395172,37.228110954679295
datalawyer_glove-lc_jur_0_0,datalawyer,glove-lc,True,No,0,0,16,20,01:27:38,5258.0,262.9,0.9956890589699848,0.9958811686415541,0.9491830065359477,0.9484081632653061,0.9487954267047275,7.1079489653070915,0.9876634546026227,0.9881443394307063,0.8782287822878229,0.8960843373493976,0.8870667163622311,32.81616575142433,0.9860235873965851,0.9865868685090653,0.8355957767722474,0.8683385579937304,0.8516525749423021,44.66734608288469
datalawyer_fasttext-lc_jur_cbow_0_1,datalawyer,fasttext-lc,True,cbow,0,1,14,20,01:21:03,4863.0,243.15,0.9921542410131096,0.992526933775954,0.9168167676436876,0.9141224489795918,0.9154676258992306,11.419281527894888,0.9887177021103446,0.9891061090868737,0.8968133535660091,0.8900602409638554,0.8934240362811292,23.281309111364955,0.98572434430558,0.9863404330223552,0.8639240506329114,0.8557993730407524,0.8598425196849894,30.69432569372243
datalawyer_fasttext_skip_0_0,datalawyer,fasttext,False,skip,0,0,11,20,01:23:33,5013.0,250.65,0.9962231238569474,0.996388338174497,0.9581494196501553,0.9568979591836735,0.9575232805096707,6.060822365468718,0.9888656666728318,0.9894390293524701,0.9001536098310292,0.8825301204819277,0.8912547528516611,30.670031152922533,0.9856715367012849,0.9863756380918852,0.863564668769716,0.8581504702194357,0.8608490566037235,42.02494721577085
datalawyer_wang2vec-lc_jur_skip_0_2,datalawyer,wang2vec-lc,True,skip,0,2,10,20,01:19:52,4792.0,239.6,0.9961539643751826,0.9963230208861635,0.9535225048923679,0.9546122448979592,0.9540670637186414,6.184819830231011,0.988199826141639,0.9884957552666136,0.8747268754552076,0.9043674698795181,0.889300259163223,28.121524564151105,0.9846681922196796,0.9851258581235698,0.8253731343283582,0.8667711598746082,0.8455657492354242,41.22478938924855
datalawyer_word2vec-lc_jur_skip_5B_0_1,datalawyer,word2vec-lc-5B,True,skip,0,1,10,20,01:24:54,5094.0,254.7,0.996407549141654,0.9966035010066546,0.9567346938775511,0.9567346938775511,0.9567346938775011,6.139651781092381,0.9882368172822609,0.9885327464072354,0.8806190125276345,0.8998493975903614,0.8901303538174546,29.930245884533587,0.9864636507657103,0.9870269318781905,0.849388379204893,0.8706896551724138,0.859907120742984,39.84146676392391
datalawyer_word2vec-lc_jur_skip_0_0,datalawyer,word2vec-lc,True,skip,0,0,8,20,01:22:00,4920.0,246.0,0.9963921803679284,0.9965689212657722,0.9557147508954738,0.9583673469387755,0.9570392108909584,6.006365368933145,0.9883662862744372,0.9886252242587901,0.8834446919079436,0.8960843373493976,0.8897196261681743,28.542754872091884,0.9864636507657103,0.9869037141348355,0.8524464831804281,0.8738244514106583,0.8630030959751823,39.06905910886567
datalawyer_glove-lc_jur_0_1,datalawyer,glove-lc,True,No,0,1,13,20,01:20:58,4858.0,242.9,0.9958235357400833,0.9960079610247898,0.9518367346938775,0.9518367346938775,0.9518367346938276,6.85165238831316,0.9877559324541773,0.9879223925869755,0.874455732946299,0.9073795180722891,0.8906134515890113,31.753211169407287,0.9863404330223552,0.9868157014610104,0.8418674698795181,0.8761755485893417,0.858678955453099,39.33816082724209
datalawyer_fasttext-lc_jur_skip_5B-mc10_0_1,datalawyer,fasttext-lc-5B-mc10,True,skip,0,1,10,20,01:24:28,5068.0,253.4,0.9963844959810657,0.9965304993314583,0.9586736360666449,0.958204081632653,0.9584388013390535,6.032701788690092,0.9867756672276989,0.9870346052120517,0.8704512372634643,0.9006024096385542,0.8852701702442136,29.222943273083917,0.9861644076747051,0.9866924837176554,0.8315868263473054,0.8706896551724138,0.8506891271056163,37.15611634583309
datalawyer_glove-lc_jur_5B-mc10_0_1,datalawyer,glove-lc-5B-mc10,True,No,0,1,11,20,01:25:00,5100.0,255.0,0.9957735872254753,0.9959733812839073,0.9522719843085976,0.9511836734693877,0.9517275177652037,6.902308033744897,0.9880888527197736,0.98842177298537,0.8958174904942966,0.8870481927710844,0.8914112750661627,29.10364372154762,0.9855131138883999,0.9861116000704101,0.867193675889328,0.859717868338558,0.863439590712268,40.54943822992259
datalawyer_word2vec-lc_jur_skip_5B-mc10_0_1,datalawyer,word2vec-lc-5B-mc10,True,skip,0,1,14,20,01:22:40,4960.0,248.0,0.996288441145281,0.996476708623419,0.9584083838218438,0.9555918367346938,0.9569980379332398,6.040093416581789,0.9880333660088408,0.9885512419775464,0.8908263836239575,0.884789156626506,0.8877975066112079,32.27076477017896,0.9855307164231649,0.9861820102094702,0.8537920250195465,0.8557993730407524,0.8547945205478952,44.32058303109531
datalawyer_word2vec-lc_jur_cbow_5B-mc10_0_2,datalawyer,word2vec-lc-5B-mc10,True,cbow,0,2,11,20,01:21:50,4910.0,245.5,0.9937948576083114,0.9941022330828223,0.9294829842931938,0.9275102040816326,0.9284955462939763,9.797031512834488,0.9896054894852683,0.9900123920321083,0.8941798941798942,0.8908132530120482,0.8924933987174152,26.419901568314124,0.9853370885407499,0.9859883823270551,0.8547880690737834,0.853448275862069,0.8541176470587736,37.6197058743444
datalawyer_wang2vec-lc_jur_skip_0_1,datalawyer,wang2vec-lc,True,skip,0,1,16,20,01:22:30,4950.0,247.5,0.9960809626999861,0.9962692301781241,0.9530892448512586,0.952,0.9525443110348271,6.288164371122844,0.9870715963526735,0.9873490299073372,0.8749090909090909,0.9058734939759037,0.8901220865704272,35.32899713516235,0.9854955113536349,0.9860411899313501,0.8377358490566038,0.8699059561128527,0.853517877739281,44.13926989456703
datalawyer_word2vec-lc_jur_skip_5B-mc10_0_2,datalawyer,word2vec-lc-5B-mc10,True,skip,0,2,17,20,01:21:46,4906.0,245.3,0.9963114943058693,0.9964613398496934,0.9606144794901128,0.9596734693877551,0.9601437438745009,6.077785678118523,0.9882553128525718,0.9885512419775464,0.8831360946745562,0.8990963855421686,0.8910447761193531,35.021480535638744,0.9861292026051751,0.9866220735785953,0.8464476699770818,0.8683385579937304,0.8572533849129094,45.98817955214402
datalawyer_fasttext-lc_jur_skip_0_2,datalawyer,fasttext-lc,True,skip,0,2,17,20,01:22:19,4939.0,246.95,0.9963422318533204,0.9964959195905758,0.9590404699738904,0.9595102040816327,0.959275279523332,6.245184698186788,0.9891431002274955,0.9895315072040246,0.8878085265519821,0.8938253012048193,0.8908067542213385,31.87005742664995,0.98579475444464,0.9863580355571202,0.8407012195121951,0.8644200626959248,0.8523956723337985,44.232948944486424
datalawyer_word2vec-lc_jur_cbow_5B_0_0,datalawyer,word2vec-lc-5B,True,cbow,0,0,18,20,01:25:22,5122.0,256.1,0.9932684771082115,0.9936027479367421,0.9250942468447796,0.921469387755102,0.92327825944703,9.85383383520085,0.988199826141639,0.9885327464072354,0.8824404761904762,0.8930722891566265,0.8877245508981536,23.993989845802044,0.9860411899313501,0.9864812533004753,0.8564814814814815,0.8699059561128527,0.8631415241057044,32.288522950534166
datalawyer_word2vec-lc_jur_cbow_5B_0_2,datalawyer,word2vec-lc-5B,True,cbow,0,2,11,20,01:26:16,5176.0,258.8,0.9930802096300736,0.9934298492323298,0.9234418452478325,0.9216326530612244,0.9225363621506282,9.973246862953768,0.9885697375478573,0.98903212680563,0.8941441441441441,0.8968373493975904,0.8954887218044613,25.29867596461855,0.9865340609047702,0.9872029572258405,0.8532818532818532,0.8659874608150471,0.8595877090625716,36.13184732404248
datalawyer_wang2vec-lc_jur_cbow_0_2,datalawyer,wang2vec-lc,True,cbow,0,2,8,20,01:23:57,5037.0,251.85,0.9964344444956736,0.9965996588132233,0.9597513089005235,0.9577142857142857,0.9587317152896452,6.170286096275072,0.9874784988995136,0.9877744280244881,0.8813432835820896,0.8893072289156626,0.8853073463267866,27.22177248987658,0.9850026403802148,0.9855483189579299,0.8465690053970701,0.8605015673981191,0.853478429848376,39.97148127391421
datalawyer_fasttext_cbow_0_0,datalawyer,fasttext,False,cbow,0,0,12,20,01:20:38,4838.0,241.9,0.9929226796993867,0.9932569505279174,0.9222840314136126,0.9203265306122449,0.921304241235547,10.548781110929166,0.9882368172822609,0.9884587641259919,0.8694706308919506,0.9028614457831325,0.8858514961211174,25.250410844539775,0.98575954937511,0.9861820102094702,0.8392452830188679,0.8714733542319749,0.8550557477892619,34.20871716532214
