,Training_ID,Scenario,Model,Embedding,Batch_Size,ELMo_Dropout,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
0,selective_harem_fasttext_64_0_0_0,selective,harem,fasttext,64,0,0,0,7.0,10.0,00:08:58,538.0,53.8,0.9955667009986118,0.9959137521830639,0.9520305260288907,0.942017259978425,0.946997424427224,20.453258720796498,0.9786908534586384,0.9803300185772047,0.7990074441687343,0.8214285714285712,0.8100628930817108,99.60098505020142,0.9767054409005629,0.9784915572232645,0.8109215017064847,0.7933222036727879,0.8020253164556462,126.82029328256283
1,selective_harem_fasttext_64_0_0_1,selective,harem,fasttext,64,0,0,1,8.0,10.0,00:09:25,565.0,56.5,0.9955107250011195,0.9958689713850701,0.9519388312397596,0.9401294498381877,0.9459972862957439,20.406127630774655,0.978253742760354,0.9805485739263469,0.809045226130653,0.8214285714285712,0.8151898734176711,99.11694049835205,0.9765553470919325,0.9783714821763603,0.8183060109289617,0.8,0.8090494681748615,133.11130300557838
2,selective_harem_fasttext_64_0_0_2,selective,harem,fasttext,64,0,0,2,9.0,10.0,00:09:24,564.0,56.4,0.9954323586046303,0.995768214589584,0.9484873262469338,0.9385113268608414,0.9434729564863266,20.031289534782296,0.979565074855207,0.9810949622992022,0.7884615384615382,0.8367346938775507,0.8118811881187618,107.70035791397095,0.9777260787992496,0.9792420262664165,0.8085950413223141,0.81669449081803,0.8126245847175579,130.53088429289045
3,selective_harem_fasttext_64_0_0_3,selective,harem,fasttext,64,0,0,3,14.0,20.0,00:19:04,1144.0,57.2,0.9986565760601854,0.9987573328556715,0.9835135135135135,0.9813915857605178,0.9824514038876391,5.633580987133197,0.9797836302043492,0.9819691836957709,0.8245614035087717,0.8392857142857141,0.8318584070795958,133.91001510620117,0.978326454033771,0.9802476547842401,0.8390845070422536,0.7956594323873122,0.816795201370987,180.54578583195524
4,selective_harem_fasttext_64_0_0_4,selective,harem,fasttext,64,0,0,4,,,,,,,,,,,,,,,,,,,,,,,
5,selective_harem_fasttext_64_0_0_5,selective,harem,fasttext,64,0,0,5,17.0,20.0,00:20:11,1211.0,60.55,0.9988133088531638,0.9988916752496529,0.9856872805833108,0.9843581445523193,0.9850222642018122,5.170068431256422,0.9800021855534914,0.9822970167194842,0.8226600985221673,0.8520408163265304,0.8370927318295237,135.59209632873535,0.9770806754221388,0.979046904315197,0.8311411304656949,0.7806343906510852,0.8050964187327324,194.17731788923155
6,selective_harem_fasttext_64_0_1_0,selective,harem,fasttext,64,0,1,0,9.0,10.0,00:09:28,568.0,56.8,0.9956464215847025,0.9960195854488709,0.9466124661246612,0.9397363465160076,0.9431618739030148,18.84987043978563,0.9871539533957379,0.9883489344752041,0.8673740053050395,0.8537859007832895,0.8605263157894235,68.19775933027267,0.9777260787992496,0.9794671669793621,0.8251821019771072,0.7943238731218698,0.8094589996596983,143.10436086834602
7,selective_harem_fasttext_64_0_1_1,selective,harem,fasttext,64,0,1,1,6.0,10.0,00:09:30,570.0,57.0,0.9952732577205342,0.9956577295805864,0.9443388541949498,0.9357008340059187,0.9399999999999501,19.824817038294096,0.9878510256920932,0.9887472615016929,0.8575063613231549,0.8798955613577021,0.8685567010308777,62.05896198749542,0.9766003752345216,0.9784615384615385,0.7926629544710121,0.8080133555926544,0.8002645502645003,118.98928422747917
8,selective_harem_fasttext_64_0_1_2,selective,harem,fasttext,64,0,1,2,6.0,10.0,00:09:50,590.0,59.0,0.9953297976999537,0.9957368855517736,0.9431048496342455,0.9365079365079365,0.9397948164146369,20.139820618415946,0.9874526986656045,0.9883489344752041,0.852417302798982,0.8746736292428196,0.86340206185562,63.03161096572876,0.9763001876172608,0.9782213883677299,0.7951331798750411,0.8073455759599332,0.801192842942296,119.204912923417
9,selective_harem_fasttext_64_0_1_3,selective,harem,fasttext,64,0,1,3,19.0,20.0,00:21:01,1261.0,63.05,0.998563884522746,0.9986882724774688,0.9822150363783346,0.9806295399515739,0.981421647819013,6.008182341483102,0.9887472615016929,0.9899422425811591,0.8785529715762271,0.8877284595300259,0.8831168831168329,76.92956924438477,0.9780412757973733,0.979842401500938,0.8217821782178217,0.8036727879799667,0.8126266036461351,185.88888265501777
10,selective_harem_fasttext_64_0_1_4,selective,harem,fasttext,64,0,1,4,,,,,,,,,,,,,,,,,,,,,,,
11,selective_harem_fasttext_64_0_1_5,selective,harem,fasttext,64,0,1,5,13.0,20.0,00:19:34,1174.0,58.7,0.9988465844198433,0.9989257403910305,0.9836153639538007,0.9852031207963411,0.9844086021504876,5.606348933568642,0.9884485162318263,0.9894443337980482,0.8791773778920305,0.8929503916449083,0.8860103626942503,72.72324389219284,0.977936210131332,0.979782363977486,0.8193877551020409,0.8043405676126878,0.8117944397640613,155.04584204475836
12,selective_harem_fasttext_64_0_2_0,selective,harem,fasttext,64,0,2,0,9.0,10.0,00:09:38,578.0,57.8,0.9953317734717522,0.9956498035028736,0.9435215946843853,0.9391016809038303,0.9413064493853941,20.528780211263626,0.9846640467746574,0.9856225438512413,0.860323886639676,0.9023354564755837,0.8808290155439914,84.91991949081421,0.9783114446529081,0.9801125703564728,0.8340917045852293,0.7956594323873122,0.8144224196855278,143.6439133770061
13,selective_harem_fasttext_64_0_2_1,selective,harem,fasttext,64,0,2,1,9.0,10.0,00:09:27,567.0,56.7,0.9955248631335044,0.9957747438722427,0.946503204235163,0.9360705428492698,0.9412579661955721,20.184962372281657,0.9830346017444647,0.9841847982363654,0.8376753507014026,0.8874734607218682,0.8618556701030428,93.06570672988892,0.9782213883677299,0.9800525328330206,0.8210598761183757,0.7966611018363939,0.8086764955091856,148.59571859971533
14,selective_harem_fasttext_64_0_2_2,selective,harem,fasttext,64,0,2,2,6.0,10.0,00:09:39,579.0,57.9,0.9955475795642988,0.9958315349492288,0.9422703302803219,0.9355194268393496,0.9388827433627819,19.82806716748138,0.9850474456052909,0.9861017923895332,0.8612836438923394,0.8832271762208066,0.8721174004192371,72.25385355949402,0.9782213883677299,0.980172607879925,0.832983193277311,0.7943238731218698,0.8131943257562311,126.44553234892071
15,selective_harem_fasttext_64_0_2_3,selective,harem,fasttext,64,0,2,3,15.0,20.0,00:19:58,1198.0,59.9,0.9988187455986915,0.9988868948910747,0.9856512141280354,0.9842931937172775,0.9849717358333983,5.303060319886279,0.9842806479440238,0.9853349947282661,0.8568548387096773,0.9023354564755837,0.8790072388830936,104.16504716873169,0.9776810506566604,0.9793470919324578,0.8199588477366255,0.798330550918197,0.8090001691760624,173.8976803545682
16,selective_harem_fasttext_64_0_2_4,selective,harem,fasttext,64,0,2,4,19.0,20.0,00:19:28,1168.0,58.4,0.9982849094750232,0.9983757751982009,0.9792989235440243,0.9776798015982364,0.978488692774357,6.727653969579668,0.984088948528707,0.9852391450206077,0.8554216867469877,0.9044585987261144,0.8792569659442223,109.14330720901489,0.9768855534709193,0.9785666041275798,0.8197173388486728,0.7939899833055092,0.8066485753052418,193.78798409228054
