Vetor,Domínio Específico,F-Score,Mínimo,Máximo,Desvio Padrão
Wang2Vec,Sim,87.79%,85.94%,88.78%,0.74%
GloVe,Não,87.64%,84.77%,89.15%,1.26%
Word2Vec,Sim,87.53%,85.18%,89.00%,0.93%
GloVe,Sim,87.48%,85.06%,89.14%,1.18%
Word2Vec,Não,87.47%,84.29%,89.07%,1.21%
Wang2Vec,Não,87.39%,84.45%,88.96%,1.16%
FastText,Não,87.10%,84.52%,88.88%,1.24%
FastText,Sim,87.07%,84.31%,88.64%,1.21%
Sem Vetor,Não,86.67%,83.38%,88.92%,2.00%
