Training_ID,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem_ELMo+CNN+Embeddings_word2vec_skip_8_0,harem,ELMo+CNN+Embeddings,word2vec,skip,8,0,13,20,00:20:46,1246.0,62.3,0.999012434349329,0.9990348790232078,0.9867674858223062,0.9897074756229686,0.9882352941175971,2.1361724081268507,0.981210633073556,0.9827052418063414,0.8661800486618002,0.8725490196078429,0.8693528693528192,71.21214307149252,0.9773658536585366,0.9789568480300188,0.8083693125207573,0.8126878130217028,0.8105228105227605,94.01560736602207
harem_ELMo+CNN+Embeddings_word2vec_skip_9_0,harem,ELMo+CNN+Embeddings,word2vec,skip,9,0,17,20,00:20:48,1248.0,62.4,0.9989122182815315,0.9990028667580706,0.9859345415201515,0.9854014598540146,0.9856679286100095,2.3351698135262104,0.9819017804734885,0.9839561729602817,0.8417266187050357,0.8753117206982541,0.8581907090464045,82.25390809774399,0.9773058161350844,0.9793020637898686,0.8206371191135734,0.7913188647746243,0.8057113717490576,111.72752005199216
harem_ELMo+CNN+Embeddings_fasttext_skip_4_0,harem,ELMo+CNN+Embeddings,fasttext,skip,4,0,14,20,00:26:21,1581.0,79.05,0.9987214301878253,0.9988006336275176,0.9842861013275535,0.9864241107792561,0.9853539462977532,2.4888030255018774,0.9878157503714711,0.9887072808320951,0.893462469733656,0.884892086330935,0.8891566265059738,46.58060760498047,0.9786266416510319,0.9803377110694184,0.8302341597796143,0.805008347245409,0.8174266824885075,93.29132577608216
harem_ELMo+CNN+Embeddings_wang2vec_cbow_0_0,harem,ELMo+CNN+Embeddings,wang2vec,cbow,0,0,16,20,00:24:06,1446.0,72.3,0.9987573328556715,0.9988580896511576,0.9859762675296656,0.9859762675296656,0.9859762675296156,2.4736389751170775,0.9808764069500601,0.9829526827669107,0.8213399503722082,0.8443877551020406,0.832704402515673,81.6938351949056,0.9776060037523452,0.9795121951219512,0.8163195629907818,0.798330550918197,0.8072248480755747,105.99041863207547
harem_ELMo+CNN+Embeddings_word2vec_cbow_0_0,harem,ELMo+CNN+Embeddings,word2vec,cbow,0,0,13,20,00:23:55,1435.0,71.75,0.9991043840401236,0.9991939456361112,0.9878476910613017,0.9865156418554477,0.9871812171096518,1.9782527542825956,0.9803300185772047,0.9825155720686264,0.8224999999999998,0.8392857142857141,0.8308080808080307,65.41552454630533,0.97753095684803,0.9795722326454034,0.8316796598157336,0.7836393989983306,0.8069451607357245,96.39292555035286
harem_ELMo+CNN+Embeddings_fasttext_skip_5_0,harem,ELMo+CNN+Embeddings,fasttext,skip,5,0,9,20,00:40:06,2406.0,120.3,0.9986910699374874,0.9987926248561305,0.9850705754614549,0.9848032564450475,0.9849368978151216,2.5886164413792874,0.9865015731249366,0.9875164924388511,0.8591549295774645,0.8819277108433733,0.8703923900118405,45.83927370707194,0.9779512195121951,0.979812382739212,0.8233481684354673,0.8030050083472454,0.8130493576740541,70.92973037935653
harem_ELMo+CNN+Embeddings_fasttext_skip_6_0,harem,ELMo+CNN+Embeddings,fasttext,skip,6,0,14,20,00:24:25,1465.0,73.25,0.998892092024193,0.9989938386750326,0.9883437245866088,0.9875406283856988,0.9879420132772837,2.4122002205964344,0.9872255489021956,0.9881237524950099,0.8681055155875297,0.887254901960784,0.8775757575757074,56.583239491780596,0.977936210131332,0.9795722326454034,0.8144750254841998,0.8003338898163606,0.8073425395755647,94.83095923909602
harem_ELMo+CNN+Embeddings_fasttext_skip_7_0,harem,ELMo+CNN+Embeddings,fasttext,skip,7,0,15,20,00:33:23,2003.0,100.15,0.9985142329727722,0.9986155352700832,0.985357917570499,0.9816315505132361,0.9834912043301259,2.743750630252397,0.9875415282392026,0.988891196013289,0.8833746898263025,0.894472361809045,0.8888888888888387,53.25334803263346,0.977936210131332,0.9796772983114447,0.8218293097585855,0.8070116861435727,0.8143530997304083,97.63295988766652
harem_ELMo+CNN+Embeddings_fasttext_skip_8_0,harem,ELMo+CNN+Embeddings,fasttext,skip,8,0,13,20,00:20:53,1253.0,62.65,0.9988440992952372,0.9989787673385105,0.986735246345425,0.9872697724810401,0.9870024370430045,2.527656349172788,0.9849471549055194,0.9864417636383047,0.8792270531400964,0.8921568627450978,0.8856447688563975,56.93834883371989,0.9776810506566604,0.9793771106941839,0.8112516644474035,0.8136894824707847,0.8124687447907486,90.20377680940449
harem_ELMo+CNN+Embeddings_fasttext_skip_9_0,harem,ELMo+CNN+Embeddings,fasttext,skip,9,0,10,20,00:20:44,1244.0,62.2,0.9987309213284534,0.9988329008645599,0.9843285598486895,0.9848607731819411,0.9845945945945446,2.690323196963143,0.9830757190373703,0.9852279397378204,0.8515815085158148,0.8728179551122192,0.8620689655171913,59.55482295155525,0.976765478424015,0.9788067542213884,0.8050186503899627,0.7926544240400668,0.7987886944817804,80.08664509035506
