Training_ID,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem-ft_ELMo_4_1,harem-ft,ELMo,No,No,4,1,3,5,00:04:55,295.0,59.0,0.9893641095270423,0.9902579769178547,0.8903995560488346,0.8713005701873473,0.8807465349251593,24.011330138391525,0.9826646854878652,0.9838533927686973,0.8490099009900988,0.8225419664268583,0.835566382460364,45.441761525472,0.9767204502814258,0.9785966228893058,0.8045859000684463,0.784974958263773,0.7946594558052569,57.08454120384072
harem-ft_ELMo_0_0,harem-ft,ELMo,No,No,0,0,4,5,00:04:20,260.0,52.0,0.9889391428955264,0.9898347588554028,0.880065717415115,0.8667745415318231,0.8733695652173414,24.40326464354102,0.9773795213637854,0.9797836302043492,0.7872860635696819,0.8214285714285712,0.803995006242147,55.2193842569987,0.9776360225140713,0.9793020637898686,0.811948404616429,0.7986644407345576,0.8052516411378055,57.085666134672344
harem-ft_ELMo_0_1,harem-ft,ELMo,No,No,0,1,3,5,00:04:49,289.0,57.8,0.9892078276834894,0.9900810532443688,0.8840539796199394,0.8656957928802589,0.8747785801879866,24.0027422976138,0.9779259097366408,0.9804392962517757,0.7896039603960394,0.8137755102040813,0.801507537688392,54.88045520782471,0.9766454033771107,0.9783864915572232,0.8145189301840917,0.7829716193656093,0.798433775961816,57.96796831994686
harem-ft_ELMo_0_2,harem-ft,ELMo,No,No,0,2,4,5,00:04:54,294.0,58.8,0.9891854372844924,0.990036272446375,0.8824013157894737,0.8681229773462783,0.8752039151712387,24.098445983075383,0.9779259097366408,0.9802207409026336,0.7906403940886697,0.8188775510204079,0.8045112781954386,54.476874033610024,0.9772007504690432,0.9789118198874296,0.8117283950617284,0.7903171953255426,0.8008797157840813,58.17513737138712
harem-ft_ELMo_0_3,harem-ft,ELMo,No,No,0,3,4,5,00:04:46,286.0,57.2,0.9892190228829878,0.9901034436433658,0.8846153846153846,0.8683926645091694,0.8764289602612456,23.95195479179496,0.9780351874112119,0.9801114632280625,0.7839805825242716,0.8239795918367344,0.8034825870646265,55.34759419759114,0.9773208255159475,0.9789418386491557,0.8023489932885906,0.798330550918197,0.8003347280334229,57.937204900777566
harem-ft_ELMo_0_4,harem-ft,ELMo,No,No,0,4,4,5,00:04:49,289.0,57.8,0.9895884644664368,0.9904392996283193,0.8866630076838639,0.8713592233009708,0.8789445048965767,23.91231248805772,0.9788001311332095,0.9808764069500601,0.7917675544794187,0.8341836734693875,0.812422360248397,54.54220072428385,0.9781613508442777,0.9797523452157598,0.8168435467305717,0.7966611018363939,0.8066260987152982,57.75871440149703
harem-ft_ELMo_1_0,harem-ft,ELMo,No,No,1,0,4,5,00:04:21,261.0,52.2,0.9887711600872977,0.9897888797168478,0.8797814207650273,0.8662900188323918,0.872983597668379,25.12703614092585,0.9837681736705836,0.9848635729934276,0.8249999999999997,0.8616187989556133,0.842911877394586,36.83351736068725,0.9761200750469043,0.9777410881801125,0.7928619079386258,0.7936560934891486,0.7932588019355415,57.32062332135327
harem-ft_ELMo_1_1,harem-ft,ELMo,No,No,1,1,4,5,00:04:47,287.0,57.4,0.9883866882272455,0.9894270238485633,0.8747612551159618,0.8625235404896422,0.8685992955838028,25.319920351256187,0.9843656642103167,0.9853614817765385,0.8279301745635907,0.8668407310704959,0.846938775510154,34.63312031428019,0.9765553470919325,0.9781163227016886,0.7974094985054799,0.801669449081803,0.7995337995337497,57.3342931810415
harem-ft_ELMo_1_2,harem-ft,ELMo,No,No,1,2,4,5,00:05:00,300.0,60.0,0.9885902321531554,0.9896192597785894,0.8776624795193884,0.8646758138283562,0.8711207480687941,24.961396509142066,0.9857598088030273,0.986656044612627,0.8488664987405539,0.8798955613577021,0.864102564102514,36.052502663930255,0.9758499061913696,0.9774409005628518,0.7952650883627876,0.7963272120200334,0.7957957957957459,58.16319034684379
harem-ft_ELMo_1_3,harem-ft,ELMo,No,No,1,3,4,5,00:04:47,287.0,57.4,0.9885563081655039,0.9896192597785894,0.8768472906403941,0.8619854721549637,0.8693528693528193,25.03192997690457,0.9841665006970723,0.9851623182632941,0.8320802005012529,0.8668407310704959,0.8491048593349881,35.590732447306316,0.9760450281425891,0.9777260787992496,0.7972566075610572,0.7956594323873122,0.7964572192512871,57.43576763710886
harem-ft_ELMo_1_4,harem-ft,ELMo,No,No,1,4,3,5,00:04:47,287.0,57.4,0.9887259281037621,0.9897436477333122,0.8789286690352556,0.8652138821630347,0.8720173535791258,25.14531259038555,0.985062736506672,0.9864568810993826,0.8341968911917096,0.8407310704960833,0.837451235370561,35.07113215128581,0.976360225140713,0.9784015009380863,0.8075993091537133,0.7806343906510852,0.7938879456705783,61.157761420843734
harem-ft_ELMo_2_0,harem-ft,ELMo,No,No,2,0,4,5,00:04:22,262.0,52.4,0.9886985756797891,0.9897435314963313,0.8788133221382591,0.8652521355745384,0.8719800055539628,24.189247778992154,0.9801591105147129,0.981405156714272,0.8246346555323589,0.8386411889596601,0.8315789473683709,48.124624760945636,0.9773658536585366,0.9792570356472795,0.8358956024311762,0.7806343906510852,0.8073204419889003,61.68814262354149
harem-ft_ELMo_2_1,harem-ft,ELMo,No,No,2,1,3,5,00:04:47,287.0,57.4,0.9884941278026397,0.9895050089729902,0.8729096989966555,0.8630476715348581,0.867950672024337,24.326822441015672,0.981405156714272,0.9824595034985143,0.824130879345603,0.8556263269639064,0.8395833333332833,48.407862726847334,0.9759249530956848,0.9777560975609756,0.8039958663451602,0.7792988313856427,0.7914547304170405,59.89790223679453
harem-ft_ELMo_2_2,harem-ft,ELMo,No,No,2,2,4,5,00:04:47,287.0,57.4,0.9885849935258172,0.9896072329115649,0.8764327648867767,0.8638743455497382,0.8701082431306745,24.186149440594573,0.9803508099300298,0.9816927058372472,0.8267223382045927,0.8407643312101909,0.8336842105262656,48.902775573730466,0.9772457786116323,0.9791219512195122,0.8371428571428572,0.7826377295492487,0.8089732528040916,61.25496584064555
harem-ft_ELMo_2_3,harem-ft,ELMo,No,No,2,3,4,5,00:04:44,284.0,56.8,0.9887099338951864,0.9896980986347426,0.8760469011725294,0.8647010195646183,0.8703369851615088,24.048271574191194,0.9802549602223714,0.981405156714272,0.8240165631469978,0.8450106157112525,0.8343815513626334,46.691398493448894,0.9773208255159475,0.9791669793621013,0.8315677966101694,0.7863105175292153,0.8083061609747226,61.804356305104385
harem-ft_ELMo_2_4,harem-ft,ELMo,No,No,2,4,4,5,00:04:53,293.0,58.6,0.9883919038640648,0.989436859680607,0.873672442705422,0.8613943235050978,0.8674899403357348,24.29626573021732,0.9804466596376881,0.9815968561295888,0.8302277432712213,0.8513800424628448,0.840670859538734,46.09309361775716,0.9774709193245779,0.9792870544090057,0.8368364802280014,0.7843071786310517,0.8097207859358342,60.10656825551447
harem-ft_ELMo_3_0,harem-ft,ELMo,No,No,3,0,4,5,00:04:18,258.0,51.6,0.9890333840004504,0.9900129482632438,0.8855255916345625,0.8713782832385595,0.8783949774805015,24.21222449416545,0.9785714285714285,0.9804347826086957,0.7775229357798163,0.8329238329238327,0.8042704626334019,48.48739267985026,0.9740487804878049,0.9758348968105066,0.7796498183019491,0.7879799666110183,0.7837927598803884,60.48821896427083
harem-ft_ELMo_3_1,harem-ft,ELMo,No,No,3,1,4,5,00:04:47,287.0,57.4,0.9887969374542589,0.9897990204357372,0.8851239669421488,0.8700243704305443,0.8775092175337477,23.993330713528305,0.9783643892339544,0.9801242236024845,0.7739726027397258,0.8329238329238327,0.8023668639052753,49.990022627512616,0.9739587242026266,0.9756397748592871,0.7810650887573964,0.7933222036727879,0.7871459334105845,61.12970709350874
harem-ft_ELMo_3_2,harem-ft,ELMo,No,No,3,2,3,5,00:04:51,291.0,58.2,0.988999605922423,0.9899116140291617,0.8856434279415817,0.8702951529921473,0.8779022125101932,24.30330951889949,0.9786749482401657,0.9804347826086957,0.7767653758542139,0.8378378378378376,0.8061465721039689,45.42819716135661,0.9772757973733583,0.9791519699812383,0.8043918918918919,0.7949916527545909,0.799664147774929,57.3341272102212
harem-ft_ELMo_3_3,harem-ft,ELMo,No,No,3,3,3,5,00:04:47,287.0,57.4,0.988875752969656,0.9898215391544221,0.8829845814977973,0.8683996750609261,0.8756313993173562,23.902659850334054,0.9780538302277433,0.9796066252587992,0.767494356659142,0.8353808353808352,0.7999999999999499,46.4582488377889,0.9771857410881801,0.979031894934334,0.7985347985347986,0.8006677796327212,0.7995998666221575,57.09521529809484
harem-ft_ELMo_3_4,harem-ft,ELMo,No,No,3,4,3,5,00:04:50,290.0,58.0,0.9888532342509712,0.9898327985137646,0.8808219178082192,0.8705659355537504,0.8756638975894911,24.179772501561178,0.9784679089026915,0.9802277432712215,0.7734553775743706,0.8304668304668302,0.8009478672985282,47.44167156219483,0.9773358348968105,0.9792120075046904,0.7988677988677989,0.8010016694490818,0.7999333111036513,56.891083123548974
harem-ft_ELMo_4_0,harem-ft,ELMo,No,No,4,0,3,5,00:04:19,259.0,51.8,0.9889115184430867,0.9899072188277891,0.8857221914775871,0.8691284279120283,0.8773468548718152,23.928785651477416,0.9825656265477959,0.983754333828628,0.8658227848101263,0.8201438848920861,0.8423645320196543,47.39878482818604,0.9766754221388367,0.9785966228893058,0.8112421929215823,0.7806343906510852,0.7956440360727762,57.93452937198135
harem-ft_ELMo_4_2,harem-ft,ELMo,No,No,4,2,3,5,00:04:52,292.0,58.4,0.9886852229011088,0.9896469789545146,0.8786876206231045,0.8653271789302199,0.8719562243501553,23.92416429875502,0.9819712729073798,0.9831599801882119,0.8542713567839193,0.8153477218225418,0.8343558282208087,45.53949394226074,0.9766904315196998,0.9785666041275798,0.8062521470285126,0.7836393989983306,0.7947849644428895,57.17438197585771
harem-ft_ELMo_4_3,harem-ft,ELMo,No,No,4,3,3,5,00:04:46,286.0,57.2,0.9891264992079656,0.9901335143697669,0.883489784649365,0.8688569101276133,0.8761122518822225,23.755804200670614,0.9818722139673105,0.9830609212481426,0.8521303258145361,0.8153477218225418,0.8333333333332832,45.901625633239746,0.9768555347091933,0.978671669793621,0.8116545265348595,0.7813021702838063,0.7961891799931449,57.96317498189099
harem-ft_ELMo_4_4,harem-ft,ELMo,No,No,4,4,3,5,00:04:47,287.0,57.4,0.9891378139850645,0.9900882552613713,0.8860619469026548,0.8699429812652729,0.8779284833538341,24.084777693250285,0.9830609212481426,0.984051510648836,0.8643216080402008,0.8249400479616305,0.8441717791410541,46.79405953089396,0.9769005628517824,0.9787166979362101,0.8101835815725666,0.7809682804674457,0.7953077184630579,57.38174597272333
harem-ft_ELMo_5_0,harem-ft,ELMo,No,No,5,0,4,5,00:04:21,261.0,52.2,0.9886822685112049,0.9896752499379387,0.8823691460055096,0.8691994572591587,0.8757347915242153,24.885423991217543,0.979904597584492,0.9815284684867553,0.8171296296296294,0.8506024096385539,0.8335301062573287,51.586842155456544,0.9765553470919325,0.9783714821763603,0.8059548254620124,0.7863105175292153,0.7960114923102425,63.26788812763286
harem-ft_ELMo_5_1,harem-ft,ELMo,No,No,5,1,4,5,00:04:48,288.0,57.6,0.9886822685112049,0.9896413982983909,0.8842337375964718,0.8705563093622795,0.8773417202242081,24.809426136870883,0.980107581447275,0.9816299604181468,0.8301886792452828,0.8481927710843371,0.839094159713895,51.45788027445475,0.9767204502814258,0.9784765478424015,0.8070596298834818,0.7863105175292153,0.7965499746321164,62.54389482624126
harem-ft_ELMo_5_2,harem-ft,ELMo,No,No,5,2,4,5,00:04:50,290.0,58.0,0.9882083455575364,0.9891787592245718,0.877371459994501,0.8659430122116689,0.8716197760174315,25.33040401472974,0.9797016137217092,0.9813254846239724,0.8254716981132073,0.8433734939759033,0.8343265792609749,50.42733211517334,0.9768405253283302,0.9785816135084427,0.8067831449126414,0.7863105175292153,0.7964152857625474,60.7390192319762
harem-ft_ELMo_5_3,harem-ft,ELMo,No,No,5,3,4,5,00:04:47,287.0,57.4,0.9885468619530139,0.9895172756200492,0.8808604522890238,0.8667571234735414,0.8737518807276207,24.891831732507963,0.9796001217903176,0.981021008829798,0.8313539192399048,0.8433734939759033,0.8373205741626293,51.4927287419637,0.9770656660412758,0.9787317073170732,0.8211920529801324,0.786644407345576,0.8035470668485175,63.3158190835197
harem-ft_ELMo_5_4,harem-ft,ELMo,No,No,5,4,4,5,00:04:50,290.0,58.0,0.9886032813522602,0.9895736950192955,0.8811227297743534,0.8689280868385346,0.8749829211640435,24.767288464218822,0.981021008829798,0.9824418958692784,0.8364485981308409,0.8626506024096383,0.849347568208728,50.06554737091064,0.9771857410881801,0.9788968105065666,0.8069340584636302,0.7926544240400668,0.7997305036213076,60.80243257756503
harem-ft_ELMo_6_0,harem-ft,ELMo,No,No,6,0,2,5,00:04:19,259.0,51.8,0.9887400373071054,0.989768808998926,0.880873410724157,0.8632177681473456,0.8719562243501553,25.14655249866087,0.9813373253493014,0.9820359281437125,0.8050458715596328,0.8602941176470585,0.8317535545023196,43.095683097839355,0.9708818011257035,0.9726078799249531,0.7598425196850394,0.773288814691152,0.7665067019691707,59.39404745821683
harem-ft_ELMo_6_1,harem-ft,ELMo,No,No,6,1,4,5,00:04:51,291.0,58.2,0.9887852580408117,0.9897348934486462,0.8797033781928042,0.8675514626218852,0.8735851629619029,25.37834372449277,0.9853293413173653,0.9861277445109781,0.8368298368298366,0.8799019607843135,0.8578255675029367,40.53410943349203,0.976780487804878,0.978671669793621,0.803035413153457,0.7949916527545909,0.798993288590554,59.78598870871202
harem-ft_ELMo_6_2,harem-ft,ELMo,No,No,6,2,4,5,00:04:47,287.0,57.4,0.988208693686055,0.9893279068452886,0.8783522256013271,0.8605092091007583,0.8693391708851601,25.194511968698073,0.9840319361277445,0.9852295409181637,0.8160377358490564,0.8480392156862743,0.831730769230719,41.506847318013506,0.9772007504690432,0.9791069418386491,0.8081911262798634,0.7906510851419032,0.7993248945147179,60.625025200393964
harem-ft_ELMo_6_3,harem-ft,ELMo,No,No,6,3,4,5,00:04:47,287.0,57.4,0.9884574077214403,0.9894748742298344,0.8759945130315501,0.8648429035752979,0.8703829903229703,25.537472333481062,0.9833333333333333,0.9844311377245509,0.8074245939675172,0.852941176470588,0.8295589988080547,40.91424528757731,0.9769756097560975,0.9788968105065666,0.8080054274084125,0.7953255425709516,0.8016153457849072,60.37477175694592
harem-ft_ELMo_6_4,harem-ft,ELMo,No,No,6,4,4,5,00:04:48,288.0,57.6,0.9886382906562659,0.9896783675315132,0.8796909492273731,0.8634886240520043,0.8715144887916395,25.289685768867606,0.9846307385229541,0.98562874251497,0.8240740740740738,0.8725490196078429,0.8476190476189975,41.43020197550456,0.9766003752345216,0.9784465290806754,0.795120320855615,0.7943238731218698,0.7947218974444131,58.71559014410343
harem-ft_ELMo_7_0,harem-ft,ELMo,No,No,7,0,3,5,00:04:53,293.0,58.6,0.9880800963497406,0.9891268867552874,0.8768215562276601,0.8614262560777958,0.869055729663392,26.30731507201693,0.9857765780730897,0.9873338870431894,0.8504901960784311,0.8718592964824118,0.8610421836227786,35.24851080576579,0.9760450281425891,0.97787617260788,0.7842880523731588,0.8,0.7920661157024294,57.72230362442305
