,Training_ID,Scenario,Model,Embedding,Batch_Size,ELMo_Dropout,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
0,selective_harem_glove_64_0_4_0,selective,harem,glove,64,0,4,0,30,55,00:59:58,3598.0,65.41818181818182,0.9997850192351211,0.9997850192351211,0.9970165446162191,0.9980993755090959,0.9975576662143327,1.0368896066697675,0.986924219910847,0.9882119861317484,0.9057071960297765,0.8752997601918463,0.8902439024389741,114.90315771102905,0.9787016885553471,0.980547842401501,0.8312090940406476,0.8056761268781302,0.818243472363463,234.85005749396558
1,selective_harem_wang2vec_64_0_1_0,selective,harem,wang2vec,64,0,1,0,55,75,01:22:09,4929.0,65.72,0.9997625320864383,0.9997851480782061,0.996504436676526,0.9970406241592682,0.9967724583108698,1.2129283988598123,0.9888468432583151,0.9900418243377813,0.8943298969072162,0.9060052219321146,0.9001297016860716,138.69702053070068,0.978266416510319,0.9799624765478424,0.8220942053541173,0.810016694490818,0.8160107635384634,299.0156254318525
2,selective_harem_fasttext_64_0_0_0,selective,harem,fasttext,64,0,0,0,11,36,00:39:08,2348.0,65.22222222222223,0.9994514352245757,0.999507411222068,0.9940636805180788,0.9935275080906149,0.993795521985383,2.270199897129144,0.9802207409026336,0.9828434050923396,0.8329048843187659,0.8265306122448978,0.8297055057617936,121.31189584732056,0.9769455909943715,0.979046904315197,0.8452161063908386,0.7639398998330551,0.8025254296737487,173.1672917851862
3,selective_harem_fasttext_64_0_1_0,selective,harem,fasttext,64,0,1,0,46,71,01:16:50,4610.0,64.92957746478874,0.9997399160946705,0.9997512240905544,0.9967741935483871,0.9975786924939467,0.9971762807583204,0.9090940820525831,0.9880501892053376,0.989344752041426,0.8937823834196889,0.9007832898172321,0.897269180754176,136.21277511119843,0.9765703564727954,0.9784765478424015,0.797986577181208,0.7939899833055092,0.7959832635982763,297.7750651161626
4,selective_harem_fasttext_64_0_2_0,selective,harem,fasttext,64,0,2,0,19,44,00:46:55,2815.0,63.97727272727273,0.9996251788918925,0.999659253538084,0.9953155139156793,0.9953155139156793,0.9953155139156293,1.4576023721984073,0.9871561391737755,0.9882104859580179,0.8662551440329216,0.8938428874734605,0.8798328108672434,88.99260330200195,0.9783564727954972,0.9801425891181988,0.83008356545961,0.7959933222036728,0.8126810976648555,188.5153461312348
5,selective_harem_fasttext_64_0_3_0,selective,harem,fasttext,64,0,3,0,63,75,01:20:04,4804.0,64.05333333333333,0.999774812813151,0.9997860721724934,0.9967523680649526,0.9972921743839697,0.997022198159127,0.9012214404516923,0.9853002070393375,0.986231884057971,0.8514150943396224,0.8869778869778867,0.8688327316485659,189.7034206390381,0.9783864915572232,0.9802176360225141,0.8392668311596757,0.7949916527545909,0.8165294924553684,325.7815925310243
6,selective_harem_fasttext_64_0_4_0,selective,harem,fasttext,64,0,4,0,40,65,01:09:53,4193.0,64.50769230769231,0.99989816700611,0.9999094817832088,0.9989127480293558,0.997827857724681,0.9983700081499093,0.648463455487543,0.9882119861317484,0.9892025755324418,0.897810218978102,0.884892086330935,0.8913043478260367,119.60176706314087,0.9784315196998123,0.9802326454033771,0.8260572987721692,0.8086811352253757,0.8172768685675221,263.8400381556097
7,selective_harem_fasttext_64_0_5_0,selective,harem,fasttext,64,0,5,0,16,41,00:43:56,2636.0,64.29268292682927,0.9994922254067838,0.9995486448060301,0.9934906427990235,0.9940298507462687,0.9937601736299012,2.0873066252514496,0.9869075408505024,0.9878209682330255,0.8720379146919429,0.886746987951807,0.8793309438470226,100.8881630897522,0.9777260787992496,0.9795872420262665,0.828023295649195,0.8070116861435727,0.8173824822454692,178.16348385361005
8,selective_harem_fasttext_64_0_6_0,selective,harem,fasttext,64,0,6,0,49,74,01:18:33,4713.0,63.689189189189186,0.9997399807811882,0.9997512859646148,0.9972914409534128,0.9972914409534128,0.9972914409533629,1.186898291347298,0.9895209580838323,0.9905189620758483,0.8859223300970871,0.8946078431372546,0.8902439024389741,130.28174018859863,0.9776960600375234,0.9796172607879925,0.8208446866485014,0.8046744574290484,0.8126791434833425,305.5491142632826
9,selective_harem_fasttext_64_0_7_0,selective,harem,fasttext,64,0,7,0,25,50,00:54:03,3243.0,64.86,0.9995610233783191,0.9995947908107561,0.9940652818991098,0.995407887628309,0.9947361317316277,1.7900462289021086,0.9879568106312292,0.9894102990033222,0.9022556390977441,0.9045226130653263,0.9033877038895356,102.77765309810638,0.9776210131332083,0.9796772983114447,0.8267413370668534,0.7886477462437396,0.8072453861927047,225.16150823629127
10,selective_harem_fasttext_64_0_8_0,selective,harem,fasttext,64,0,8,0,28,53,00:57:25,3445.0,65.0,0.9997194415765139,0.9997418862503927,0.9967488485505284,0.9964788732394366,0.9966138426113547,1.204648641341213,0.9845201238390093,0.9864417636383047,0.8897243107769421,0.8700980392156861,0.879801734820272,151.85533905029297,0.9785065666041276,0.980202626641651,0.8308595098377632,0.8036727879799667,0.8170400543108802,226.8800350045258
11,selective_harem_fasttext_64_0_9_0,selective,harem,fasttext,64,0,9,0,17,42,00:45:02,2702.0,64.33333333333333,0.9994447780811984,0.9995014333790353,0.9945872801082544,0.9935117599351176,0.9940492291046295,2.53066259422409,0.9835648601056545,0.9859127372334181,0.8671679197994985,0.8628428927680796,0.8649999999999498,133.5118511915207,0.9774559099437148,0.9793771106941839,0.8308668076109936,0.7873121869782972,0.8085033430481242,204.2783450360568
12,selective_harem_glove_64_0_0_0,selective,harem,glove,64,0,0,0,11,36,00:39:25,2365.0,65.69444444444444,0.9994850208230711,0.9995298016210649,0.994878706199461,0.9954153182308522,0.9951469398759273,2.422437374493969,0.9785815757840673,0.980767129275489,0.8218829516539438,0.8239795918367344,0.8229299363056822,107.57442331314087,0.9772157598499062,0.9792420262664165,0.8302425106990015,0.7772954924874791,0.8028970512156769,158.66648497671451
13,selective_harem_glove_64_0_1_0,selective,harem,glove,64,0,1,0,40,65,01:09:50,4190.0,64.46153846153847,0.9997625320864383,0.9997851480782061,0.9970406241592682,0.9970406241592682,0.9970406241592182,1.0393975859424516,0.989842660824537,0.9910376419040032,0.9119999999999997,0.8929503916449083,0.9023746701846463,102.4271913766861,0.9773208255159475,0.9793170731707317,0.8382458662832495,0.7786310517529216,0.8073394495412345,272.34045561304634
14,selective_harem_glove_64_0_2_0,selective,harem,glove,64,0,2,0,68,75,01:18:47,4727.0,63.026666666666664,0.9997501192612617,0.9997955521228504,0.9972436604189636,0.9969688619454395,0.9971062422488133,1.319308696175689,0.9866768906354836,0.9876353877120675,0.8780991735537188,0.9023354564755837,0.8900523560208922,168.66626119613647,0.978326454033771,0.9803076923076923,0.8313505948215535,0.7933222036727879,0.8118913377754498,319.6909523010254
15,selective_harem_glove_64_0_3_0,selective,harem,glove,64,0,3,0,34,59,01:03:27,3807.0,64.52542372881356,0.9996059224230142,0.9996622192197264,0.9953966964527484,0.9953966964527484,0.9953966964526985,1.8870080088112335,0.986335403726708,0.9874741200828158,0.8591885441527444,0.8845208845208843,0.8716707021791266,132.1454586982727,0.9785215759849906,0.9804577861163227,0.8386643233743409,0.7966611018363939,0.8171232876711828,230.9732980548211
16,selective_harem_wang2vec_64_0_2_0,selective,harem,wang2vec,64,0,2,0,20,45,00:48:50,2930.0,65.11111111111111,0.9995456713841121,0.9996251788918925,0.9950399559107193,0.9950399559107193,0.9950399559106693,1.8186631794852108,0.9869644397584587,0.9879229368350426,0.872950819672131,0.9044585987261144,0.8884254431699186,101.43996095657349,0.9788517823639775,0.9809230769230769,0.8403095321843124,0.7976627712854758,0.8184309695100563,193.1334228515625
17,selective_harem_wang2vec_64_0_3_0,selective,harem,wang2vec,64,0,3,0,32,57,01:01:47,3707.0,65.03508771929825,0.9996059224230142,0.9996171817823566,0.9959371614301191,0.9956674790143515,0.9958023019633895,1.194754381483393,0.9851966873706004,0.9861283643892339,0.8486997635933804,0.8820638820638819,0.8650602409638052,146.83107376098633,0.9783714821763603,0.9800225140712946,0.8290833907649897,0.803338898163606,0.8160081397320172,240.5099929233767
