Training_ID,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer-ft_ELMo+GloVe_1,datalawyer-ft,ELMo+GloVe,,,,1,36,50,3:59:44.932918,14384.0,287.68,0.9988482552793531,0.9988670848933145,0.9878953979673404,0.9876698253225255,0.9877825987667919,2.750890876032197,0.9920901720387582,0.9923183401530248,0.9304897314375987,0.9388947927736451,0.9346733668341208,51.83914462195502,0.9918997577095668,0.9923011856460839,0.9267515923566879,0.9228329809725159,0.9247881355931704,62.01453075408936
datalawyer-ft_ELMo+GloVe_2,datalawyer-ft,ELMo+GloVe,,,,2,30,50,4:36:02.519238,16562.0,331.24,0.9989455416181543,0.9989737860390966,0.9885896850753081,0.9891540130151844,0.9888717685327356,2.7631862631891497,0.9921966504920826,0.9922879177377892,0.9257710402509148,0.9410201912858661,0.9333333333332834,51.56739118364122,0.9912546056687359,0.9915270031970868,0.9175039661554732,0.9170190274841438,0.9172614327253003,61.093881098429364
datalawyer-ft_ELMo+GloVe_3,datalawyer-ft,ELMo+GloVe,,,,3,16,41,3:13:14.429147,11594.0,282.780487804878,0.9987478306715581,0.9987823516304877,0.9863138686131386,0.9873273204703733,0.986820334341252,3.446905392813138,0.991968482377816,0.9922270729073182,0.930379746835443,0.9373007438894793,0.9338274219163079,42.90033009847005,0.9910538917004774,0.9915126664850683,0.919062832800852,0.912262156448203,0.9156498673739553,55.933421495225694
datalawyer-ft_ELMo+GloVe_0,datalawyer-ft,ELMo+GloVe,,,,0,28,50,3:50:25.519497,13825.0,276.5,0.9988545318173402,0.9988796379692889,0.9886882998171846,0.9878981618906267,0.9882930729255397,3.1752295036836027,0.9918467927168738,0.9921814392844648,0.9314345991561181,0.9383634431455898,0.9348861831656462,49.735681215922035,0.9917277171653452,0.9923011856460839,0.9278846153846154,0.9180761099365751,0.9229543039319372,59.34435823228624
datalawyer-ft_ELMo+Word2Vec-jur_3,datalawyer-ft,ELMo+Word2Vec-jur,,,,3,46,50,4:18:40.888916,15520.0,310.4,0.9987697985545133,0.9987854898994812,0.9869907565902089,0.9874414887544241,0.9872160712246961,3.192200836725533,0.9921966504920826,0.9924856634368202,0.9353977576081153,0.9309245483528161,0.933155792276914,50.034477615356444,0.9916130234691976,0.9919427678456223,0.9258666666666666,0.9175475687103594,0.9216883461640062,59.78339106241862
datalawyer-ft_ELMo+Word2Vec-jur_2,datalawyer-ft,ELMo+Word2Vec-jur,,,,2,41,50,4:24:18.579010,15858.0,317.16,0.9989455416181543,0.9989612329631222,0.9894977168949771,0.9896106861513871,0.9895541982989395,2.81704973446456,0.9922727065301714,0.9925921418901447,0.938205265986029,0.9277364505844846,0.9329414907827446,54.06851738823785,0.9914123095009391,0.99187108428553,0.9305331179321487,0.9133192389006343,0.921845825553431,64.40187261369493
datalawyer-ft_ELMo+Word2Vec-jur_1,datalawyer-ft,ELMo+Word2Vec-jur,,,,1,12,37,2:52:02.613075,10322.0,278.97297297297297,0.9987635220165261,0.9987792133614941,0.9859701152047451,0.9868706473341705,0.9864201757388522,3.6194951771758497,0.9915577797721361,0.9917707366787849,0.9331919406150583,0.9351753453772582,0.9341825902334956,46.58275220659044,0.9917133804533268,0.9919427678456223,0.9241857981847303,0.9149048625792812,0.9195219123505475,52.98450247446696
datalawyer-ft_ELMo+Word2Vec-jur_0,datalawyer-ft,ELMo+Word2Vec-jur,,,,0,19,44,3:34:16.238528,12856.0,292.1818181818182,0.9988482552793531,0.9988796379692889,0.9896071265417999,0.9892681812992351,0.9894376248928989,3.157068997084235,0.9918467927168738,0.991968482377816,0.9289473684210526,0.9378320935175345,0.9333685880486016,50.223099115159776,0.9916416968932346,0.9919571045576407,0.924548352816153,0.919661733615222,0.9220985691573428,55.785440635681155
