Representação,F-Score,Mínimo,Máximo,Desvio Padrão
ELMo+Vetor,87.48%,84.88%,89.06%,1.06%
ELMo+CNN+Vetor,87.33%,84.29%,89.15%,1.21%
ELMo,86.74%,84.07%,88.92%,2.07%
ELMo+CNN,86.59%,83.38%,88.75%,1.96%
