Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
GloVe,81.24%,78.68%,82.85%,0.67%
Wang2Vec,81.20%,79.37%,82.92%,0.69%
Word2Vec,81.04%,78.72%,82.94%,0.76%
Sem Vetor,81.02%,78.40%,82.65%,0.74%
FastText,80.79%,77.84%,82.78%,0.81%
