Modelo,Representação,Vetor,Tipo de Vetor,Domínio Específico,F-Score,Mínimo,Máximo,Desvio Padrão
ELMo Jurídico,ELMo+Vetor,FastText,CBoW,Não,87.86%,87.45%,88.74%,0.33%
ELMo-af Jurídico,ELMo+CNN+Vetor,Word2Vec,CBoW,Sim,87.71%,87.13%,88.00%,0.28%
ELMo-af Jurídico,ELMo+CNN+Vetor,FastText,CBoW,Sim,87.63%,87.21%,88.22%,0.30%
ELMo Jurídico,ELMo+CNN+Vetor,FastText,CBoW,Sim,87.61%,87.07%,88.11%,0.26%
ELMo-af Jurídico,ELMo+Vetor,Word2Vec,CBoW,Sim,87.56%,87.39%,88.58%,0.39%
ELMo Jurídico,ELMo+Vetor,Wang2Vec,Skip-Gram,Sim,87.53%,87.36%,88.02%,0.18%
ELMo Jurídico,ELMo+Vetor,FastText,CBoW,Sim,87.53%,86.93%,87.83%,0.22%
ELMo Wikipedia,ELMo+Vetor,Wang2Vec,Skip-Gram,Sim,87.42%,87.42%,87.42%,0.00%
ELMo brWaC,ELMo+Vetor,Word2Vec,CBoW,Sim,87.36%,87.36%,87.36%,0.00%
ELMo Wikipedia,ELMo+Vetor,Word2Vec,Skip-Gram,Não,87.30%,87.30%,87.30%,0.00%
ELMo Wikipedia,ELMo+Vetor,FastText,Skip-Gram,Sim,87.26%,87.26%,87.26%,0.00%
ELMo Wikipedia,ELMo+Vetor,Word2Vec,Skip-Gram,Sim,87.25%,87.20%,87.25%,0.01%
ELMo Wikipedia,ELMo+Vetor,GloVe,GloVe,Não,87.15%,87.15%,87.15%,0.00%
ELMo Wikipedia,ELMo+Vetor,Wang2Vec,CBoW,Sim,86.87%,86.87%,86.87%,0.00%
ELMo Wikipedia,ELMo+CNN+Vetor,Wang2Vec,CBoW,Sim,86.81%,86.36%,87.52%,0.42%
ELMo Wikipedia,ELMo+Vetor,Wang2Vec,CBoW,Não,86.66%,86.66%,86.66%,0.00%
ELMo brWaC,ELMo+CNN+Vetor,Word2Vec,CBoW,Sim,86.62%,86.27%,86.97%,0.26%
ELMo brWaC,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,Sim,86.59%,86.31%,86.93%,0.20%
ELMo brWaC,ELMo+Vetor,FastText,Skip-Gram,Sim,86.56%,86.56%,86.56%,0.00%
