Tipo de Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
CBoW,85.84%,85.10%,87.00%,0.42%
Skip-Gram,85.82%,84.79%,86.86%,0.50%
Sem Vetor,85.81%,85.00%,86.44%,0.54%
