Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
glove-lc,86.13%,85.76%,86.44%,0.34%
wang2vec-lc,85.95%,85.12%,86.86%,0.53%
Word2Vec,85.85%,85.58%,86.45%,0.28%
fasttext-lc,85.85%,85.44%,86.34%,0.33%
word2vec-lc,85.81%,85.10%,86.16%,0.35%
Wang2Vec,85.77%,84.87%,87.00%,0.68%
FastText,85.74%,84.79%,86.49%,0.57%
GloVe,85.67%,85.07%,86.11%,0.48%
Sem Vetor,85.64%,85.00%,86.28%,0.72%
