Training_ID,Model,Representation,Embedding,Embedding_Type,Domain_Specific,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
datalawyer-ft_ELMo_0,datalawyer-ft,ELMo,No,No,False,0,17,20,1:29:06.965009,5346.0,267.3,0.9967840840979298,0.9969070342877342,0.9650326797385621,0.9642448979591837,0.9646386280113832,5.799219378950658,0.9868311539386317,0.9871640742042281,0.8728750923872876,0.8893072289156626,0.8810145468108416,41.36188618068037,0.9863404330223552,0.9869037141348355,0.851258581235698,0.8746081504702194,0.8627754155391847,46.26257179523336
datalawyer-ft_ELMo+CNN_0,datalawyer-ft,ELMo+CNN,No,No,False,0,12,20,01:39:02,5942.0,297.1,0.996407549141654,0.9965804478460664,0.9608709888670596,0.958204081632653,0.9595356821711263,5.704470656688473,0.98801487043853,0.9882368172822609,0.8637015781922525,0.9066265060240963,0.884643644379083,41.45778574614689,0.98558352402746,0.9860763950008802,0.8335843373493976,0.8675548589341693,0.8502304147464939,47.8478590044482
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec_cbow_0,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec,cbow,False,0,11,20,01:34:41,5681.0,284.05,0.9971106705395977,0.9971990409885195,0.9692659800555828,0.968,0.9686325763763591,4.979233322685715,0.9870900919229845,0.9875154900401354,0.8950191570881226,0.8795180722891566,0.8872009115077358,40.89101817690093,0.9867276887871853,0.9872557648301356,0.8772908366533865,0.8628526645768025,0.8700118530224709,46.374492826132936
datalawyer-ft_ELMo+CNN+Embeddings_fasttext-lc_jur_cbow_5B-jur2vec-nilc-2_0,datalawyer-ft,ELMo+CNN+Embeddings,fasttext-lc,cbow,True,0,9,20,01:23:34,5014.0,250.7,0.992257980235757,0.9926076198380132,0.9222405271828665,0.9139591836734694,0.918081180811758,11.006428273786478,0.9855734551574897,0.9858693842824644,0.866861741038771,0.8923192771084337,0.8794063079776866,29.35268914288488,0.9862524203485302,0.9868333039957754,0.8417865253595761,0.8714733542319749,0.8563727377743051,31.893376736805358
datalawyer-ft_ELMo+CNN+Embeddings_fasttext-lc_jur_skip_5B-jur2vec-nilc-2_0,datalawyer-ft,ELMo+CNN+Embeddings,fasttext-lc,skip,True,0,17,20,01:19:12,4752.0,237.6,0.9969877203497933,0.9970568798315582,0.9657086871325931,0.9655510204081633,0.9656298473344264,4.847832526520197,0.9875709767510681,0.9878484103057318,0.8730741012472487,0.8960843373493976,0.884429580081704,41.505476047252785,0.9866396761133603,0.9871677521563105,0.8480243161094225,0.8746081504702194,0.8611111111110612,49.398364330160206
datalawyer-ft_ELMo+CNN+Embeddings_fasttext_cbow_0,datalawyer-ft,ELMo+CNN+Embeddings,fasttext,cbow,False,0,9,20,01:32:15,5535.0,276.75,0.9939754406995865,0.9942559208200777,0.9347219944234869,0.9304489795918367,0.9325805923743569,8.85133316238648,0.9868866406495644,0.9871640742042281,0.8736223365172667,0.8953313253012049,0.8843436221643235,28.907919332898896,0.9865164583700052,0.9870973420172505,0.8430629264594389,0.8714733542319749,0.8570327552986012,33.76915058596381
datalawyer-ft_ELMo+CNN+Embeddings_fasttext_skip_0,datalawyer-ft,ELMo+CNN+Embeddings,fasttext,skip,False,0,19,20,01:27:52,5272.0,263.6,0.9970530376381268,0.9971683034410684,0.9689237814851162,0.9671836734693877,0.9680529455020336,5.0479848196324495,0.9872750476260935,0.9876449590323118,0.8778682457438934,0.8930722891566265,0.8854050018663181,44.35986462954817,0.9861468051399401,0.9867276887871853,0.8480429777436684,0.8659874608150471,0.856921287320617,57.10958276945969
datalawyer-ft_ELMo+CNN+Embeddings_glove-lc_jur_5B-jur2vec-nilc-2_0,datalawyer-ft,ELMo+CNN+Embeddings,glove-lc,No,True,0,14,20,01:17:47,4667.0,233.35,0.9967187668095963,0.9968609279665576,0.962563348046428,0.9613061224489796,0.9619343244567382,5.849738165151974,0.9874045166182699,0.9877004457432444,0.8787878787878788,0.8953313253012049,0.8869824692278501,39.39292935667367,0.9863052279528252,0.9868333039957754,0.8526234567901234,0.8659874608150471,0.8592534992223451,45.75337531648833
datalawyer-ft_ELMo+CNN+Embeddings_glove_0,datalawyer-ft,ELMo+CNN+Embeddings,glove,No,False,0,17,20,01:31:30,5490.0,274.5,0.9970376688644013,0.9971452502804801,0.967610011451006,0.9657142857142857,0.9666612191534064,5.159644537217008,0.9874415077588917,0.9877929235947991,0.8843843843843844,0.8870481927710844,0.8857142857142358,45.33182945744745,0.98572434430558,0.9862700228832952,0.8648221343873518,0.8573667711598746,0.8610783156237202,53.36743289026721
datalawyer-ft_ELMo+CNN+Embeddings_wang2vec-lc_jur_cbow_5B-jur2vec-nilc_0,datalawyer-ft,ELMo+CNN+Embeddings,wang2vec-lc,cbow,True,0,16,20,1:20:28.829145,4828.0,241.4,0.9970914595724407,0.9971913566016568,0.9692910813459654,0.9688163265306122,0.969053645790756,10.705004500704543,0.9873675254776481,0.9877189413135554,0.8760207869339273,0.8885542168674698,0.8822429906541556,88.11348803290005,0.9858475620489351,0.9863932406266502,0.8420245398773006,0.8605015673981191,0.8511627906976245,99.25649360130573
