Training_ID,Scenario,Model,Representation,Embedding,Embedding_Type,Training_Number,Execution_Number,Best_Epoch,Training_Epochs,Training_Duration,Total_Duration(s),Average_Epoch_Duration(s),Training_Accuracy,Training_Accuracy_Top-3,Training_Precision,Training_Recall,Training_F1-Measure,Training_Loss,Best_Validation_Accuracy,Best_Validation_Accuracy_Top-3,Best_Validation_Precision,Best_Validation_Recall,Best_Validation_F1-Measure,Best_Validation_Loss,Test_Accuracy,Test_Accuracy_Top-3,Test_Precision,Test_Recall,Test_F1_Measure,Test_Loss
harem_ELMo+Embeddings_wang2vec_skip_selective_0_8,selective,harem,ELMo+Embeddings,wang2vec,skip,0,8,32,57,01:02:02,3722.0,65.29824561403508,0.9997089248130402,0.9997201200125386,0.9967663702506063,0.9975728155339806,0.9971694298422468,0.6367628827913484,0.9804392962517757,0.9826248497431974,0.829207920792079,0.8545918367346936,0.8417085427135177,105.94179229736328,0.9769606003752345,0.9789868667917448,0.8232607167955025,0.7823038397328882,0.8022598870055998,137.4236371202289
harem_ELMo+Embeddings_wang2vec_skip_total_0_3,total,harem,ELMo+Embeddings,wang2vec,skip,0,3,51,75,01:16:56,4616.0,61.54666666666667,0.9996827806541516,0.9996827806541516,0.9971098265895953,0.9973315543695798,0.9972206781544803,1.0189768110971842,0.9866771159874608,0.9866771159874608,0.8707753479125246,0.8605108055009821,0.8656126482212938,70.21605529785157,0.9640525328330206,0.9659587242026266,0.7663605051664754,0.7349298100743188,0.7503161444428333,221.4764740781964
harem_ELMo+Embeddings_wang2vec_skip_selective_0_2,selective,harem,ELMo+Embeddings,wang2vec,skip,0,2,51,75,01:35:22,5722.0,76.29333333333334,0.9998320720075232,0.9998320720075232,0.9975734699379887,0.9978425026968716,0.9977079681811554,0.519906579615868,0.9805485739263469,0.9828434050923396,0.8435897435897434,0.8392857142857141,0.8414322250638884,128.05023778279622,0.9787016885553471,0.9806078799249531,0.8489285714285715,0.7936560934891486,0.8203623813631943,159.96538783019443
harem_ELMo+Embeddings_wang2vec_skip_selective_0_4,selective,harem,ELMo+Embeddings,wang2vec,skip,0,4,69,75,01:39:45,5985.0,79.8,0.9997649008105325,0.9997872912095294,0.9973024008632317,0.9970334412081985,0.997167902899478,0.4949390469553338,0.9808764069500601,0.9828434050923396,0.8296296296296294,0.8571428571428569,0.8431618569635634,139.77315190633138,0.9776360225140713,0.9793470919324578,0.8191743432275674,0.801669449081803,0.8103273709078138,176.53902519873853
harem_ELMo+Embeddings_wang2vec_skip_total_0_6,total,harem,ELMo+Embeddings,wang2vec,skip,0,6,50,75,01:15:30,4530.0,60.4,0.9996941099165033,0.999705439178855,0.9964436541453656,0.9968868134311764,0.9966651845264062,0.6734140248823244,0.9855995297805643,0.98608934169279,0.8633663366336631,0.8565815324165028,0.8599605522681945,71.13253300984701,0.9642176360225141,0.9662589118198874,0.7664004563605248,0.7396091384530691,0.7527664939066597,224.61309803656812
harem_ELMo+Embeddings_wang2vec_skip_selective_0_7,selective,harem,ELMo+Embeddings,wang2vec,skip,0,7,17,42,00:51:40,3100.0,73.80952380952381,0.9994066544265818,0.9994514352245757,0.9919224555735057,0.9935275080906149,0.9927243330638142,0.9438708477667463,0.9801114632280625,0.9822970167194842,0.8267326732673265,0.8520408163265304,0.8391959798994473,82.66174043019613,0.978671669793621,0.9805328330206379,0.8265935572309802,0.8053422370617697,0.8158295281582454,97.80784532259095
harem_ELMo+Embeddings_wang2vec_skip_total_0_8,total,harem,ELMo+Embeddings,wang2vec,skip,0,8,42,67,01:06:34,3994.0,59.61194029850746,0.9997507562282619,0.9997847440153171,0.997332147621165,0.9975539248387814,0.9974430239021179,0.7532695180514076,0.9858934169278997,0.9861873040752351,0.8673267326732671,0.8605108055009821,0.8639053254437368,66.66972986857097,0.9648480300187617,0.9670694183864915,0.7691214102928632,0.7445637214423342,0.7566433566433067,205.90541458129883
harem_ELMo+Embeddings_wang2vec_skip_total_0_4,total,harem,ELMo+Embeddings,wang2vec,skip,0,4,39,64,01:02:57,3777.0,59.015625,0.999501512456524,0.9995241709812274,0.9955486312040953,0.9946631087391594,0.9951056729699168,0.8336802934810742,0.9846199059561128,0.984717868338558,0.8648111332007951,0.854616895874263,0.8596837944663531,70.20765622456868,0.963076923076923,0.9650581613508443,0.7600229095074456,0.7305257363060831,0.7449824561403009,212.49475768827043
harem_ELMo+Embeddings_wang2vec_skip_selective_0_6,selective,harem,ELMo+Embeddings,wang2vec,skip,0,6,25,50,00:55:11,3311.0,66.22,0.9997089248130402,0.9997089248130402,0.9967611336032388,0.9959546925566343,0.9963577498987765,0.680694968578642,0.9785815757840673,0.9808764069500601,0.8295165394402033,0.8316326530612242,0.8305732484075931,107.79370829264323,0.9787317073170732,0.9806228893058161,0.8383484954513646,0.8,0.8187254399452774,130.608774886941
harem_ELMo+Embeddings_wang2vec_skip_selective_0_0,selective,harem,ELMo+Embeddings,wang2vec,skip,0,0,13,38,00:43:10,2590.0,68.15789473684211,0.9994290448255788,0.9994626304240741,0.9948690251147718,0.9935275080906149,0.9941978140601309,1.4238905619357283,0.9803300185772047,0.9822970167194842,0.8179611650485434,0.8596938775510201,0.8383084577113926,69.82036240895589,0.9780412757973733,0.9797973733583489,0.8185825703628349,0.8060100166944908,0.8122476446836647,88.74281226464038
harem_ELMo+Embeddings_wang2vec_skip_selective_0_5,selective,harem,ELMo+Embeddings,wang2vec,skip,0,5,16,41,00:45:58,2758.0,67.26829268292683,0.9996529488155479,0.9996753392145448,0.9959557832299811,0.9962243797195254,0.9960900633678885,0.8711141622069278,0.9813135176483444,0.9840454595126216,0.8461538461538459,0.8418367346938773,0.8439897698209217,78.18607234954834,0.9773208255159475,0.979422138836773,0.8322649572649573,0.7803005008347246,0.8054454592451681,100.67699508846931
harem_ELMo+Embeddings_wang2vec_skip_total_0_2,total,harem,ELMo+Embeddings,wang2vec,skip,0,2,48,73,01:13:16,4396.0,60.21917808219178,0.9996148050800412,0.9996148050800412,0.9962180200222469,0.9957749610851679,0.9959964412810888,0.7855600370024678,0.9865791536050157,0.986775078369906,0.8802395209580837,0.8664047151277012,0.8732673267326231,70.33990020751953,0.964577861163227,0.9665891181988743,0.7768475750577367,0.740710156895128,0.7583485979991047,215.04191287058705
harem_ELMo+Embeddings_wang2vec_skip_selective_0_9,selective,harem,ELMo+Embeddings,wang2vec,skip,0,9,28,53,01:00:34,3634.0,68.56603773584905,0.9996417536160495,0.9996865344140432,0.9962233612085244,0.9959546925566343,0.996089008765965,0.6949236887097081,0.9802207409026336,0.982078461370342,0.8316831683168314,0.8571428571428569,0.8442211055275879,104.84090080261231,0.9782814258911819,0.9800375234521576,0.8309614717112114,0.7993322203672788,0.8148400272293578,123.49538614165108
harem_ELMo+Embeddings_wang2vec_skip_selective_0_3,selective,harem,ELMo+Embeddings,wang2vec,skip,0,3,28,53,01:23:56,5036.0,95.01886792452831,0.9997201200125386,0.9997201200125386,0.9962253976813157,0.9964940668824164,0.9963597141700996,0.6666526163879559,0.978253742760354,0.9802207409026336,0.8217821782178215,0.8469387755102038,0.8341708542713065,114.25260378519694,0.9773058161350844,0.979031894934334,0.8264918937564677,0.8,0.813030200203547,128.46498728698154
harem_ELMo+Embeddings_wang2vec_skip_total_0_1,total,harem,ELMo+Embeddings,wang2vec,skip,0,1,43,68,01:12:06,4326.0,63.61764705882353,0.9996374636047447,0.9996374636047447,0.9964428634948866,0.9966644429619747,0.9965536409115675,0.755358022543838,0.9858934169278997,0.98608934169279,0.8624754420432218,0.8624754420432218,0.8624754420431718,70.01356112162271,0.9640975609756097,0.9658836772983115,0.7552719200887902,0.7492430498210845,0.752245405554738,207.43038476188227
harem_ELMo+Embeddings_wang2vec_skip_total_0_0,total,harem,ELMo+Embeddings,wang2vec,skip,0,0,51,75,01:31:47,5507.0,73.42666666666666,0.9996714513917999,0.9996827806541516,0.9971085409252669,0.9968868134311764,0.9969976648503893,0.7350764195260995,0.9843260188087775,0.984717868338558,0.857142857142857,0.8605108055009821,0.8588235294117145,75.83138567606608,0.9642326454033772,0.9661238273921201,0.775255391600454,0.7519955959262318,0.7634483722229485,226.20976455256624
harem_ELMo+Embeddings_wang2vec_skip_total_0_9,total,harem,ELMo+Embeddings,wang2vec,skip,0,9,60,75,01:26:11,5171.0,68.94666666666667,0.9997620854906137,0.9997847440153171,0.9973291787224572,0.996442072492773,0.9968854282535652,0.6266140644994578,0.9870689655172413,0.9875587774294671,0.8683693516699409,0.8683693516699409,0.8683693516698908,66.42540651957194,0.9625065666041276,0.9644727954971858,0.7562482448750351,0.7412606661161575,0.7486794551014235,229.43823695632648
