Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
GloVe,87.87%,85.51%,89.15%,1.01%
Wang2Vec,87.74%,85.56%,88.96%,0.84%
Word2Vec,87.73%,85.18%,89.07%,0.95%
FastText,87.34%,84.31%,88.88%,1.13%
Sem Vetor,87.02%,83.38%,88.92%,1.94%
