Ajuste Fino,Representação,Vetor,Tipo de Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
Geral,ELMo+Vetor,GloVe,Sem Vetor,87.15%,87.15%,87.15%,0.00%
Geral,ELMo+Vetor,wang2vec-lc,CBoW,86.87%,86.87%,86.87%,0.00%
Geral,ELMo+CNN+Vetor,wang2vec-lc,CBoW,86.81%,86.36%,87.52%,0.42%
Geral,ELMo+Vetor,Wang2Vec,CBoW,86.66%,86.66%,86.66%,0.00%
Geral,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,86.52%,85.45%,87.22%,0.46%
Geral,ELMo+CNN+Vetor,wang2vec-lc,Skip-Gram,86.52%,85.94%,87.58%,0.42%
Geral,ELMo+CNN+Vetor,word2vec-lc,Skip-Gram,86.47%,85.79%,87.10%,0.35%
Geral,ELMo+Vetor,Wang2Vec,Skip-Gram,86.46%,86.46%,86.46%,0.00%
Geral,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,86.39%,85.85%,87.32%,0.44%
Geral,ELMo+CNN+Vetor,glove-lc,Sem Vetor,86.35%,85.75%,87.08%,0.36%
Geral,ELMo+Vetor,glove-lc,Sem Vetor,86.34%,86.34%,86.34%,0.00%
Geral,ELMo+Vetor,Word2Vec,CBoW,86.32%,86.32%,86.32%,0.00%
Geral,ELMo+Vetor,word2vec-lc,CBoW,86.32%,86.32%,86.32%,0.00%
Geral,ELMo+Vetor,FastText,Skip-Gram,86.31%,86.31%,86.31%,0.00%
Geral,ELMo+CNN+Vetor,FastText,Skip-Gram,86.31%,85.63%,87.08%,0.42%
Geral,ELMo+CNN+Vetor,fasttext-lc,Skip-Gram,86.29%,85.73%,86.77%,0.35%
Geral,ELMo+CNN+Vetor,GloVe,Sem Vetor,86.26%,85.51%,86.82%,0.31%
Geral,ELMo+CNN+Vetor,Wang2Vec,CBoW,86.22%,85.56%,86.70%,0.38%
Geral,ELMo+CNN+Vetor,word2vec-lc,CBoW,86.11%,85.18%,86.74%,0.50%
Geral,ELMo+CNN+Vetor,Word2Vec,CBoW,86.03%,85.56%,86.48%,0.28%
Geral,ELMo+Vetor,FastText,CBoW,86.02%,85.25%,86.09%,0.24%
Geral,ELMo+Vetor,fasttext-lc,CBoW,85.38%,85.38%,85.38%,0.00%
Geral,ELMo+CNN+Vetor,FastText,CBoW,85.21%,84.55%,85.93%,0.50%
Geral,ELMo+CNN+Vetor,fasttext-lc,CBoW,84.76%,84.31%,85.80%,0.40%
Geral,ELMo,Sem Vetor,Sem Vetor,84.56%,84.54%,84.76%,0.06%
Geral,ELMo+CNN,Sem Vetor,Sem Vetor,84.13%,83.38%,84.96%,0.46%
