Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
GloVe,80.34%,77.39%,81.90%,0.71%
Wang2Vec,80.30%,77.75%,82.32%,0.78%
Word2Vec,80.25%,75.41%,81.99%,0.84%
Sem Vetor,80.04%,76.65%,81.59%,0.74%
FastText,79.67%,76.49%,81.77%,0.85%
