FUNCAO,11222,26658
FUNDAMENTO,61601,372350
LOCAL,3237,9980
ORGANIZACAO,19534,71811
PESSOA,26315,70612
TRIBUNAL,6167,21237
VALOR_ACORDO,664,1350
VALOR_CAUSA,153,337
VALOR_CONDENACAO,451,939
VALOR_CUSTAS,789,1633
VARA,2156,13746
