0000001-63.2011.5.04.0292
0000002-88.2013.5.07.0035
0000003-10.2011.5.15.0136
0000003-52.2013.5.21.0013
0000003-52.2013.5.21.0013
0000003-85.2011.5.05.0201
0000004-24.2011.5.09.0245
0000004-51.2018.5.19.0002
0000004-52.2011.5.04.0022
0000005-36.2018.5.19.0002
0000005-77.2011.5.15.0136
0000006-13.2019.5.14.0006
0000006-39.2019.5.08.0019
0000007-41.2011.5.15.0041
0000007-41.2011.5.15.0041
0000009-20.2013.5.23.0008
0000009-46.2013.5.07.0014
0000009-79.2018.5.19.0000
0000010-43.2018.5.09.0000
0000010-70.2019.5.14.0161
0000010-70.2019.5.14.0161
0000010-91.2019.5.08.0111
0000011-06.2018.5.17.0000
0000011-18.2011.5.15.0061
0000012-14.2013.5.21.0013
0000012-24.2012.5.22.0109
0000012-28.2018.5.19.0002
0000013-17.2019.5.14.0002
0000013-73.2018.5.17.0000
0000015-24.2011.5.15.0136
0000005-36.2018.5.19.0002
0000010-97.2013.5.15.0017
0000016-50.2018.5.09.0000
0000028-49.2011.5.03.0009
0000034-46.2018.5.17.0001
0000051-25.2018.5.19.0002
0000057-88.2013.5.22.0110
0000071-51.2011.5.03.0149
0000082-57.2011.5.15.0081
0000097-90.2011.5.15.0092
0000109-54.2011.5.05.0134
0000126-15.2013.5.04.0404
0000016-61.2014.5.17.0002
0000017-26.2013.5.15.0038
0000017-63.2013.5.15.0058
0000018-04.2018.5.06.0000
0000018-41.2018.5.19.0000
0000019-47.2013.5.03.0129
0000023-57.2018.5.19.0002
0000023-57.2018.5.19.0002
0000023-76.2019.5.13.0006
0000027-90.2012.5.22.0109
0000028-65.2013.5.21.0013
0000028-85.2018.5.19.0000
0000029-14.2011.5.06.0021
0000029-64.2018.5.19.0002
0000029-67.2018.5.19.0001
0000029-93.2013.5.15.0085
0000030-46.2011.5.15.0086
0000030-55.2018.5.19.0000
0000033-40.2012.5.12.0024
0000033-98.2011.5.15.0086
0000034-83.2013.5.05.0121
0000034-86.2018.5.19.0002
0000037-41.2018.5.19.0002
0000038-22.2018.5.05.0000
0000040-89.2018.5.05.0000
0000041-78.2018.5.19.0002
0000042-66.2013.5.07.0004
0000044-36.2018.5.19.0001
0000046-16.2013.5.20.0013
0000047-71.2013.5.21.0013
0000051-28.2018.5.19.0001
0000051-65.2019.5.11.0017
0000052-10.2018.5.19.0002
0000052-82.2011.5.06.0142
0000053-17.2011.5.02.0033
0000053-95.2018.5.19.0001
0000054-32.2019.5.11.0013
0000055-65.2018.5.19.0001
0000056-21.2013.5.22.0105
0000057-18.2011.5.15.0122
0000058-02.2018.5.09.0000
0000059-39.2019.5.11.0018
0000061-15.2011.5.02.0511
0000061-15.2011.5.15.0006
0000062-98.2011.5.03.0146
0000063-54.2011.5.05.0461
0000065-90.2011.5.05.0342
0000065-90.2011.5.05.0342
0000067-85.2011.5.15.0082
0000070-29.2011.5.02.0332
0000071-65.2011.5.04.0006
0000072-58.2018.5.17.0001
0000073-43.2018.5.17.0001
0000074-53.2019.5.11.0003
0000074-88.2012.5.22.0101
0000076-76.2011.5.06.0121
0000077-26.2018.5.19.0001
0000078-74.2019.5.08.0003
0000079-93.2018.5.19.0001
0000080-35.2018.5.17.0001
0000084-72.2018.5.17.0001
0000085-03.2018.5.19.0001
0000086-37.2011.5.02.0023
0000088-27.2012.5.23.0107
0000090-21.2011.5.03.0064
0000091-19.2019.5.08.0118
0000091-79.2012.5.23.0107
0000093-18.2011.5.15.0136
0000093-48.2013.5.22.0105
0000094-06.2011.5.02.0252
0000098-71.2011.5.04.0451
0000099-70.2011.5.04.0026
0000099-76.2011.5.04.0121
0000100-65.2011.5.15.0053
0000100-81.2011.5.05.0461
0000101-70.2011.5.04.0404
0000103-19.2011.5.09.0657
0000105-62.2013.5.22.0105
0000106-17.2011.5.06.0411
0000109-14.2013.5.21.0013
0000111-51.2011.5.09.0089
0000112-91.2011.5.03.0060
0000112-91.2011.5.03.0060
0000113-51.2013.5.21.0013
0000115-21.2011.5.04.0027
0000116-63.2011.5.05.0193
0000120-51.2013.5.05.0122
0000121-25.2011.5.04.0028
0000122-69.2011.5.05.0161
0000124-39.2011.5.05.0161
0000127-48.2011.5.15.0053
0000127-61.2018.5.08.0000
0000198-59.2011.5.01.0079
0000594-44.2013.5.20.0012
0000645-86.2013.5.23.0007
0000700-84.2013.5.03.0042
0000703-33.2014.5.20.0009
0000703-86.2011.5.06.0022
0000704-77.2013.5.10.0802
0000704-77.2013.5.10.0802
0000708-17.2013.5.10.0802
0000708-32.2013.5.09.0127
