EXEQÜENTE
EXECUTADO
Juíza
Juíza do Trabalho
advogado
advogado
Juíza do Trabalho
Secretário de Audiências
RECORRENTE
RECORRIDO
RELATOR
Juiz
Relatora Ministra
Relatora Ministra
Rel . Min .
Relator ( a ) : Min .
Rel . Des .
Rel . Des .
Relª Juíza
Rel . Juiz
Relator Ministro
Relator Ministro
Secretário da Fazenda do Estado do Ceará
Rel . Min .
Julgador de Primeiro Grau
Rel . Min .
Relª Juíza Conv .
Relator Ministro
Desembargador
presidente / relator
Desembargadora
Desembargadora
Procuradora Regional do Trabalho
Desembargador Relator
Juíza do Trabalho Substituta
Juiz do Trabalho
RECLAMANTE
RECLAMADO
reclamante
patrono
preposto do ( a ) reclamado ( a )
advogado ( a )

