Função
advogado
advogado ( a )
Desembargador
Desembargador Relator
Desembargadora
EXECUTADO
EXEQÜENTE
Juiz
Juiz do Trabalho
Julgador de Primeiro Grau
Juíza
Juíza do Trabalho
Juíza do Trabalho Substituta
patrono
preposto do ( a ) reclamado ( a )
presidente / relator
Procuradora Regional do Trabalho
RECLAMADO
RECLAMANTE
RECORRENTE
RECORRIDO
Rel . Des .
Rel . Juiz
Rel . Min .
RELATOR
Relator ( a ) : Min .
Relator Ministro
Relatora Ministra
Relª Juíza
Relª Juíza Conv .
Secretário da Fazenda do Estado do Ceará
Secretário de Audiências
