FUNCAO,778,1570
FUNDAMENTO,1339,10513
LOCAL,146,455
ORGANIZACAO,867,2966
PESSOA,949,3217
TRIBUNAL,302,1129
VALOR_ACORDO,12,36
VALOR_CAUSA,5,15
VALOR_CONDENACAO,17,44
VALOR_CUSTAS,30,81
VARA,133,882
