Embedding,Tagging Scheme,Lower,Capitalisation Dim,Char LSTM Dim,Word LSTM Dim,count,mean,std,min,25%,50%,75%,max
Glove,IOB2,True,True,25,200,10.0,62.116,0.8466299204624308,60.68,61.56,62.144999999999996,62.69,63.39
Glove,IOBES,True,True,50,200,10.0,62.04600000000001,2.43973677997352,55.69,61.587500000000006,62.650000000000006,63.41,64.03
Glove,IOBES,True,False,25,100,9.0,61.27000000000001,3.663819728097985,51.99,61.22,62.17,63.04,64.02
Wang2Vec,IOBES,False,False,25,100,8.0,57.25625000000001,0.8390119614335506,55.76,56.885,57.230000000000004,57.6325,58.52
Wang2Vec,IOBES,False,True,50,200,9.0,57.208888888888886,0.9718596149193117,56.15,56.47,56.55,58.12,58.64
Wang2Vec,IOBES,False,True,25,100,9.0,57.06333333333334,0.8594911285173341,55.49,56.74,56.99,57.77,58.28
Wang2Vec,IOBES,False,False,50,200,9.0,57.00999999999999,1.4533581802157371,54.56,56.57,56.99,57.76,59.56
FastText,IOB2,False,False,25,100,10.0,56.794999999999995,1.5304701528905718,53.5,56.585,56.945,57.82000000000001,58.61
FastText,IOBES,False,True,25,100,9.0,56.73777777777778,1.0407182348957111,54.98,55.97,56.89,57.6,58.3
FastText,IOBES,False,True,50,100,10.0,56.69199999999999,2.040924627058367,53.16,55.9725,57.345,57.665,59.82
FastText,IOB2,False,True,50,100,10.0,56.653,0.7438495965060565,55.46,56.0325,56.79,57.144999999999996,57.84
Wang2Vec,IOB2,False,True,25,100,9.0,56.645555555555546,1.0606143397945258,55.1,55.78,56.64,57.71,58.08
FastText,IOBES,False,True,25,200,9.0,56.60555555555556,0.8141423571942297,55.43,56.22,56.46,57.29,57.6
FastText,IOBES,False,True,50,200,9.0,56.50888888888888,1.3800946022324383,54.66,55.58,56.52,57.39,59.01
FastText,IOBES,False,False,50,100,9.0,56.48111111111111,1.3109390188376857,53.9,55.53,56.67,57.22,58.24
FastText,IOB2,False,False,50,200,8.0,56.316250000000004,0.4028802551627465,55.8,56.0125,56.285,56.5375,56.98
FastText,IOB2,False,False,50,100,9.0,56.31333333333334,0.9361356739276633,55.28,55.84,56.17,56.58,58.49
FastText,IOB2,False,True,25,100,10.0,56.25600000000001,1.5550862784210184,54.57,54.80500000000001,55.925,57.730000000000004,58.3
FastText,IOBES,False,False,50,200,9.0,56.247777777777785,0.9071766335419167,54.48,55.62,56.62,56.89,57.16
Wang2Vec,IOBES,False,True,50,100,9.0,56.17333333333334,0.5791588728492384,55.39,55.81,55.99,56.74,56.96
FastText,IOB2,False,True,50,200,9.0,56.13666666666667,1.5806960492137632,52.32,56.07,56.48,56.93,57.53
Wang2Vec,IOB2,False,True,50,200,7.0,56.07,1.5487737084545312,53.87,55.125,56.03,57.144999999999996,58.05
Wang2Vec,IOB2,False,False,50,100,9.0,55.98444444444445,1.126500234255537,54.68,55.4,55.54,56.18,58.28
FastText,IOBES,False,False,25,200,9.0,55.975555555555566,1.0620512124082238,54.78,55.05,55.96,56.68,57.56
Wang2Vec,IOBES,False,True,25,200,10.0,55.936,0.8874082112158608,54.5,55.542500000000004,55.775,56.50749999999999,57.56
FastText,IOB2,False,True,25,200,9.0,55.93333333333333,0.9814784765851976,54.68,55.05,55.95,56.68,57.48
FastText,IOBES,False,False,25,100,7.0,55.911428571428566,1.457171101500307,53.42,55.400000000000006,55.95,56.555,58.1
Glove,IOBES,False,True,25,100,10.0,55.911,1.1155412239008577,54.3,55.305,55.835,56.2,58.11
Wang2Vec,IOB2,False,True,25,200,10.0,55.900999999999996,1.0583997354497026,54.07,55.0675,56.215,56.575,57.45
Wang2Vec,IOB2,False,True,50,100,10.0,55.883,0.891840170035467,53.86,55.6,55.97,56.522499999999994,56.99
Wang2Vec,IOBES,False,False,50,100,10.0,55.69,2.147779214806669,50.13,55.894999999999996,56.36,56.845,57.28
Glove,IOB2,False,False,25,100,10.0,55.646,1.1555104692059022,54.31,54.75,55.29,56.375,57.93
Wang2Vec,IOB2,False,False,25,100,10.0,55.622,1.0355975194167963,53.84,54.857499999999995,55.83,56.3075,57.02
Wang2Vec,IOB2,False,False,50,200,10.0,55.617999999999995,1.855351419243505,51.42,54.832499999999996,55.879999999999995,56.815000000000005,57.99
Word2Vec,IOBES,False,False,50,100,10.0,55.568999999999996,0.48615155387320663,54.53,55.4325,55.614999999999995,55.86000000000001,56.18
Wang2Vec,IOBES,False,False,25,200,9.0,55.51,1.1953033087881921,53.97,54.5,55.25,56.75,57.07
FastText,IOB2,False,False,25,200,8.0,55.40625,1.0780132188428864,53.62,54.835,55.595,56.2175,56.73
Glove,IOBES,False,True,25,200,8.0,55.31625,1.0455748589719853,53.4,54.832499999999996,55.49,56.15,56.44
Word2Vec,IOB2,False,False,50,100,8.0,55.265,1.4452088331547701,52.22,54.94,55.39,56.26,56.92
Wang2Vec,IOB2,False,False,25,200,10.0,55.263,1.0964493199008836,53.82,54.675000000000004,55.08,56.137499999999996,56.83
Glove,IOBES,False,True,50,100,10.0,55.187,2.1485553285870953,50.18,54.3025,55.375,56.8675,57.26
Glove,IOBES,False,False,25,200,8.0,55.12875,1.0988362350362195,53.19,54.3725,55.53,55.8475,56.34
