Training Round,Epochs,Scenario,Embedding,Tagging Scheme,Capitalisation Dim,Lower,Char LSTM Dim,Word LSTM Dim,Precision,Recall,F1 Score
2,5,selective,Wang2Vec,iobes,False,False,25,200,62.95,51.67,56.75
2,5,selective,Wang2Vec,iobes,False,False,50,100,67.48,48.37,56.35
2,5,selective,Wang2Vec,iobes,False,False,50,200,63.77,55.86,59.56
2,5,selective,Wang2Vec,iobes,False,True,25,100,71.75,60.27,65.51
2,5,selective,Wang2Vec,iobes,False,True,25,200,70.41,65.01,67.6
2,5,selective,Wang2Vec,iobes,False,True,50,100,65.41,67.95,66.65
2,5,selective,Wang2Vec,iobes,False,True,50,200,67.28,66.8,67.04
2,5,selective,Wang2Vec,iobes,True,False,25,100,68.33,46.72,55.49
2,5,selective,Wang2Vec,iobes,True,False,25,200,64.74,50.56,56.77
2,5,selective,Wang2Vec,iobes,True,False,50,100,66.09,48.91,56.21
2,5,selective,Wang2Vec,iobes,True,False,50,200,59.31,54.0,56.53
2,5,selective,Wang2Vec,iobes,True,True,25,100,69.82,59.05,63.99
2,5,selective,Wang2Vec,iobes,True,True,25,200,68.31,67.23,67.76
2,5,selective,Wang2Vec,iobes,True,True,50,100,67.87,65.44,66.63
2,5,selective,Wang2Vec,iobes,True,True,50,200,67.1,66.19,66.64
3,5,selective,Wang2Vec,iob,False,False,25,100,63.34,46.83,53.84
3,5,selective,Wang2Vec,iob,False,False,25,200,63.69,46.72,53.9
3,5,selective,Wang2Vec,iob,False,False,50,100,60.92,50.91,55.47
3,5,selective,Wang2Vec,iob,False,False,50,200,59.98,53.78,56.71
3,5,selective,Wang2Vec,iob,False,True,25,100,62.63,69.27,65.78
3,5,selective,Wang2Vec,iob,False,True,25,200,66.09,64.86,65.47
3,5,selective,Wang2Vec,iob,False,True,50,100,69.41,63.71,66.44
3,5,selective,Wang2Vec,iob,False,True,50,200,63.47,68.59,65.93
3,5,selective,Wang2Vec,iob,True,False,25,100,63.18,50.7,56.26
3,5,selective,Wang2Vec,iob,True,False,25,200,60.85,48.66,54.07
3,5,selective,Wang2Vec,iob,True,False,50,100,59.39,54.07,56.61
3,5,selective,Wang2Vec,iob,True,False,50,200,64.81,49.34,56.03
3,5,selective,Wang2Vec,iob,True,True,25,100,63.43,66.37,64.87
3,5,selective,Wang2Vec,iob,True,True,25,200,67.17,66.69,66.93
3,5,selective,Wang2Vec,iob,True,True,50,100,71.44,61.89,66.32
3,5,selective,Wang2Vec,iob,True,True,50,200,71.36,62.82,66.82
3,5,selective,Wang2Vec,iobes,False,False,25,100,25.01,32.77,28.37
3,5,selective,Wang2Vec,iobes,False,False,25,200,66.6,45.89,54.34
3,5,selective,Wang2Vec,iobes,False,False,50,100,58.32,55.79,57.03
3,5,selective,Wang2Vec,iobes,False,False,50,200,45.45,21.69,29.37
3,5,selective,Wang2Vec,iobes,False,True,25,100,68.55,64.0,66.2
3,5,selective,Wang2Vec,iobes,False,True,25,200,0.52,5.67,0.95
3,5,selective,Wang2Vec,iobes,False,True,50,100,38.68,5.88,10.21
3,5,selective,Wang2Vec,iobes,False,True,50,200,69.97,62.75,66.16
3,5,selective,Wang2Vec,iobes,True,False,25,100,3.85,6.7,4.89
3,5,selective,Wang2Vec,iobes,True,False,25,200,56.26,56.08,56.17
3,5,selective,Wang2Vec,iobes,True,False,50,100,51.46,47.4,49.35
3,5,selective,Wang2Vec,iobes,True,False,50,200,58.32,56.9,57.6
3,5,selective,Wang2Vec,iobes,True,True,25,100,68.51,64.58,66.48
3,5,selective,Wang2Vec,iobes,True,True,25,200,67.52,67.01,67.27
3,5,selective,Wang2Vec,iobes,True,True,50,100,69.52,66.15,67.79
3,5,selective,Wang2Vec,iobes,True,True,50,200,67.29,65.79,66.53
4,5,selective,Wang2Vec,iob,False,False,25,100,56.52,55.79,56.15
4,5,selective,Wang2Vec,iob,False,False,25,200,65.93,47.04,54.91
4,5,selective,Wang2Vec,iob,False,False,50,100,60.89,49.62,54.68
4,5,selective,Wang2Vec,iob,False,False,50,200,63.4,53.42,57.99
