,Training_Round,Epochs,Scenario,Embedding,Tagging_Scheme,Capitalisation_Dim,Lower,Char_LSTM_Dim,Word_LSTM_Dim,Precision,Recall,F1_Score
329,0,5,selective,FastText,IOB2,True,False,25,200,58.4,51.74,54.87
361,1,5,selective,FastText,IOB2,True,False,25,200,58.95,56.08,57.48
393,2,5,selective,FastText,IOB2,True,False,25,200,61.59,52.49,56.68
425,3,5,selective,FastText,IOB2,True,False,25,200,54.02,56.11,55.05
457,4,5,selective,FastText,IOB2,True,False,25,200,59.49,50.59,54.68
489,5,5,selective,FastText,IOB2,True,False,25,200,58.13,53.17,55.54
521,6,5,selective,FastText,IOB2,True,False,25,200,64.07,51.27,56.96
553,7,5,selective,FastText,IOB2,True,False,25,200,65.43,48.87,55.95
585,8,5,selective,FastText,IOB2,True,False,25,200,62.84,50.81,56.19
330,0,5,selective,FastText,IOB2,True,False,50,100,65.1,51.02,57.21
362,1,5,selective,FastText,IOB2,True,False,50,100,55.75,55.97,55.86
394,2,5,selective,FastText,IOB2,True,False,50,100,64.08,52.71,57.84
426,3,5,selective,FastText,IOB2,True,False,50,100,57.36,55.75,56.55
458,4,5,selective,FastText,IOB2,True,False,50,100,61.02,53.39,56.95
490,5,5,selective,FastText,IOB2,True,False,50,100,63.06,51.77,56.86
522,6,5,selective,FastText,IOB2,True,False,50,100,60.35,54.46,57.26
554,7,5,selective,FastText,IOB2,True,False,50,100,64.94,50.34,56.72
586,8,5,selective,FastText,IOB2,True,False,50,100,67.22,47.72,55.82
618,9,5,selective,FastText,IOB2,True,False,50,100,62.5,49.84,55.46
331,0,5,selective,FastText,IOB2,True,False,50,200,65.6,50.95,57.36
363,1,5,selective,FastText,IOB2,True,False,50,200,60.51,50.99,55.34
395,2,5,selective,FastText,IOB2,True,False,50,200,59.79,53.21,56.31
427,3,5,selective,FastText,IOB2,True,False,50,200,56.4,57.48,56.93
459,4,5,selective,FastText,IOB2,True,False,50,200,61.97,51.88,56.48
491,5,5,selective,FastText,IOB2,True,False,50,200,57.81,56.01,56.89
523,6,5,selective,FastText,IOB2,True,False,50,200,59.14,56.01,57.53
587,8,5,selective,FastText,IOB2,True,False,50,200,63.16,50.41,56.07
332,0,5,selective,FastText,IOB2,True,True,25,100,70.04,64.04,66.9
364,1,5,selective,FastText,IOB2,True,True,25,100,67.07,65.36,66.21
396,2,5,selective,FastText,IOB2,True,True,25,100,71.36,60.67,65.58
428,3,5,selective,FastText,IOB2,True,True,25,100,68.51,63.89,66.12
460,4,5,selective,FastText,IOB2,True,True,25,100,64.57,65.01,64.78
492,5,5,selective,FastText,IOB2,True,True,25,100,65.83,67.08,66.45
524,6,5,selective,FastText,IOB2,True,True,25,100,65.03,66.8,65.9
556,7,5,selective,FastText,IOB2,True,True,25,100,69.11,61.92,65.32
588,8,5,selective,FastText,IOB2,True,True,25,100,66.06,65.26,65.66
620,9,5,selective,FastText,IOB2,True,True,25,100,69.21,62.07,65.44
333,0,5,selective,FastText,IOB2,True,True,25,200,65.86,63.14,64.47
365,1,5,selective,FastText,IOB2,True,True,25,200,70.44,60.67,65.19
397,2,5,selective,FastText,IOB2,True,True,25,200,66.23,65.18,65.7
429,3,5,selective,FastText,IOB2,True,True,25,200,66.86,61.63,64.14
461,4,5,selective,FastText,IOB2,True,True,25,200,66.42,63.97,65.17
525,6,5,selective,FastText,IOB2,True,True,25,200,67.68,64.43,66.02
557,7,5,selective,FastText,IOB2,True,True,25,200,67.66,63.75,65.65
589,8,5,selective,FastText,IOB2,True,True,25,200,69.72,61.35,65.27
621,9,5,selective,FastText,IOB2,True,True,25,200,69.13,62.96,65.9
334,0,5,selective,FastText,IOB2,True,True,50,100,68.98,63.14,65.93
366,1,5,selective,FastText,IOB2,True,True,50,100,70.01,60.77,65.07
398,2,5,selective,FastText,IOB2,True,True,50,100,67.3,66.26,66.78
430,3,5,selective,FastText,IOB2,True,True,50,100,67.58,66.15,66.86
462,4,5,selective,FastText,IOB2,True,True,50,100,68.92,64.72,66.75
526,6,5,selective,FastText,IOB2,True,True,50,100,67.45,61.89,64.55
558,7,5,selective,FastText,IOB2,True,True,50,100,67.98,63.03,65.41
590,8,5,selective,FastText,IOB2,True,True,50,100,68.67,60.34,64.24
622,9,5,selective,FastText,IOB2,True,True,50,100,66.05,65.51,65.78
335,0,5,selective,FastText,IOB2,True,True,50,200,64.75,62.57,63.64
367,1,5,selective,FastText,IOB2,True,True,50,200,64.83,62.32,63.55
399,2,5,selective,FastText,IOB2,True,True,50,200,65.69,63.21,64.43
431,3,5,selective,FastText,IOB2,True,True,50,200,66.31,63.86,65.06
495,5,5,selective,FastText,IOB2,True,True,50,200,69.77,59.09,63.99
527,6,5,selective,FastText,IOB2,True,True,50,200,66.72,63.11,64.86
559,7,5,selective,FastText,IOB2,True,True,50,200,67.38,63.93,65.61
591,8,5,selective,FastText,IOB2,True,True,50,200,66.09,66.05,66.07
623,9,5,selective,FastText,IOB2,True,True,50,200,68.36,60.67,64.29
336,0,5,selective,FastText,IOBES,False,False,25,100,56.18,55.72,55.95
368,1,5,selective,FastText,IOBES,False,False,25,100,56.55,50.63,53.42
400,2,5,selective,FastText,IOBES,False,False,25,100,64.46,49.16,55.78
432,3,5,selective,FastText,IOBES,False,False,25,100,60.65,55.75,58.1
464,4,5,selective,FastText,IOBES,False,False,25,100,60.81,50.23,55.02
528,6,5,selective,FastText,IOBES,False,False,25,100,55.76,57.83,56.78
624,9,5,selective,FastText,IOBES,False,False,25,100,57.33,55.36,56.33
337,0,5,selective,FastText,IOBES,False,False,25,200,56.11,57.26,56.68
369,1,5,selective,FastText,IOBES,False,False,25,200,61.49,54.11,57.56
401,2,5,selective,FastText,IOBES,False,False,25,200,66.12,50.38,57.18
433,3,5,selective,FastText,IOBES,False,False,25,200,66.38,46.72,54.84
465,4,5,selective,FastText,IOBES,False,False,25,200,58.78,53.39,55.96
529,6,5,selective,FastText,IOBES,False,False,25,200,54.23,55.9,55.05
561,7,5,selective,FastText,IOBES,False,False,25,200,60.98,50.38,55.17
593,8,5,selective,FastText,IOBES,False,False,25,200,56.42,56.69,56.56
625,9,5,selective,FastText,IOBES,False,False,25,200,61.13,49.62,54.78
338,0,5,selective,FastText,IOBES,False,False,50,100,62.59,47.33,53.9
402,2,5,selective,FastText,IOBES,False,False,50,100,63.18,51.38,56.67
434,3,5,selective,FastText,IOBES,False,False,50,100,61.97,52.17,56.65
466,4,5,selective,FastText,IOBES,False,False,50,100,65.33,51.27,57.45
498,5,5,selective,FastText,IOBES,False,False,50,100,58.46,52.78,55.47
530,6,5,selective,FastText,IOBES,False,False,50,100,65.2,50.99,57.22
562,7,5,selective,FastText,IOBES,False,False,50,100,62.3,54.68,58.24
594,8,5,selective,FastText,IOBES,False,False,50,100,58.85,52.56,55.53
626,9,5,selective,FastText,IOBES,False,False,50,100,66.27,50.3,57.2
339,0,5,selective,FastText,IOBES,False,False,50,200,62.52,51.74,56.62
371,1,5,selective,FastText,IOBES,False,False,50,200,60.74,50.81,55.33
403,2,5,selective,FastText,IOBES,False,False,50,200,67.36,47.36,55.62
435,3,5,selective,FastText,IOBES,False,False,50,200,60.66,53.57,56.89
467,4,5,selective,FastText,IOBES,False,False,50,200,58.87,50.7,54.48
499,5,5,selective,FastText,IOBES,False,False,50,200,60.88,52.46,56.36
531,6,5,selective,FastText,IOBES,False,False,50,200,61.37,53.5,57.16
595,8,5,selective,FastText,IOBES,False,False,50,200,61.78,52.85,56.97
627,9,5,selective,FastText,IOBES,False,False,50,200,60.17,53.78,56.8
340,0,5,selective,FastText,IOBES,False,True,25,100,67.04,64.47,65.73
372,1,5,selective,FastText,IOBES,False,True,25,100,67.29,65.58,66.42
404,2,5,selective,FastText,IOBES,False,True,25,100,64.78,65.76,65.27
436,3,5,selective,FastText,IOBES,False,True,25,100,68.48,63.71,66.01
468,4,5,selective,FastText,IOBES,False,True,25,100,66.51,65.72,66.11
500,5,5,selective,FastText,IOBES,False,True,25,100,69.05,62.96,65.87
532,6,5,selective,FastText,IOBES,False,True,25,100,66.07,63.61,64.82
564,7,5,selective,FastText,IOBES,False,True,25,100,70.08,61.31,65.4
596,8,5,selective,FastText,IOBES,False,True,25,100,68.16,63.25,65.61
341,0,5,selective,FastText,IOBES,False,True,25,200,70.48,61.56,65.72
373,1,5,selective,FastText,IOBES,False,True,25,200,65.66,60.81,63.14
405,2,5,selective,FastText,IOBES,False,True,25,200,66.86,64.54,65.68
437,3,5,selective,FastText,IOBES,False,True,25,200,69.53,58.34,63.44
469,4,5,selective,FastText,IOBES,False,True,25,200,66.47,63.68,65.04
501,5,5,selective,FastText,IOBES,False,True,25,200,64.66,64.36,64.51
533,6,5,selective,FastText,IOBES,False,True,25,200,63.71,63.71,63.71
597,8,5,selective,FastText,IOBES,False,True,25,200,66.8,64.22,65.48
629,9,5,selective,FastText,IOBES,False,True,25,200,66.26,66.91,66.58
342,0,5,selective,FastText,IOBES,False,True,50,100,62.88,69.13,65.86
374,1,5,selective,FastText,IOBES,False,True,50,100,66.99,64.54,65.74
406,2,5,selective,FastText,IOBES,False,True,50,100,65.35,67.55,66.43
438,3,5,selective,FastText,IOBES,False,True,50,100,62.84,65.54,64.16
470,4,5,selective,FastText,IOBES,False,True,50,100,67.61,61.89,64.62
502,5,5,selective,FastText,IOBES,False,True,50,100,62.9,65.11,63.99
534,6,5,selective,FastText,IOBES,False,True,50,100,64.56,62.64,63.59
630,9,5,selective,FastText,IOBES,False,True,50,100,64.53,66.33,65.42
343,0,5,selective,FastText,IOBES,False,True,50,200,57.35,56.26,56.8
375,1,5,selective,FastText,IOBES,False,True,50,200,68.99,63.18,65.96
407,2,5,selective,FastText,IOBES,False,True,50,200,67.68,63.61,65.58
